timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
0.813,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
0.901,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
0.991,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
1.081,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
1.171,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
1.261,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
1.351,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
1.442,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
1.531,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
1.621,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
1.714,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
1.801,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
1.895,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
1.982,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
2.073,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
2.163,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
2.251,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
2.345,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
2.432,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
2.521,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
2.613,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
2.701,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
2.795,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
2.882,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
2.972,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
3.063,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
3.151,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
3.245,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
3.332,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
3.421,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
3.512,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
3.602,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
3.691,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
3.78,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
3.871,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
3.96,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
4.051,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
4.141,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
4.232,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
4.321,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
4.413,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
4.501,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
4.621,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
4.711,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
4.802,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
4.897,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
4.98,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
5.071,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
5.163,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
5.251,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
5.343,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
5.432,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
5.521,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
5.611,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
5.702,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
5.791,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
5.881,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
5.971,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
6.061,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
6.151,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
6.242,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
6.332,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
6.421,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
6.512,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
6.601,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
6.691,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
6.781,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
6.871,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
6.962,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
7.052,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
7.142,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
7.231,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
7.321,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
7.412,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
7.502,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
7.591,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
7.682,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
7.771,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
7.866,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
7.951,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
8.041,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
8.132,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
8.222,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
8.315,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
8.401,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
8.521,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
8.642,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
8.732,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
8.821,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
8.915,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
9.001,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
9.091,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
9.183,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
9.271,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
9.365,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
9.452,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
9.541,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
9.633,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
9.722,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
9.815,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
9.901,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
9.991,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
10.084,31,97.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
10.171,31,97.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
10.265,31,97.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
10.353,31,97.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
10.441,31,97.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
10.534,31,97.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
10.621,31,97.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
10.716,31,97.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
10.802,31,97.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
10.891,31,97.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
10.981,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
11.071,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
11.163,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
11.251,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
11.341,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
11.432,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
11.521,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
11.611,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
11.701,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
11.791,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
11.881,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
11.972,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
12.061,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
12.151,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
12.242,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
12.331,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
12.421,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
12.511,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
