timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
0.81,90,102.0,768.0,0.0,46.0,7.22,83.5,21.0,14.1,14.5
0.9,90,102.0,768.0,0.0,46.0,7.22,83.5,21.0,14.1,14.5
0.991,90,102.0,768.0,0.0,46.0,7.22,83.5,21.0,14.1,14.5
1.08,90,102.0,771.0,0.0,46.0,7.22,83.5,21.0,14.1,14.5
1.171,90,102.0,771.0,0.0,46.0,7.22,83.5,21.0,14.1,14.5
1.26,90,102.0,771.0,0.0,47.0,7.22,83.5,21.0,14.1,14.5
1.35,90,102.0,771.0,0.0,47.0,7.02,83.5,21.0,14.1,14.5
1.441,90,102.0,771.0,0.0,47.0,7.02,83.5,21.0,14.1,14.5
1.53,90,102.0,771.0,0.0,47.0,7.02,83.5,21.0,14.1,14.5
1.62,90,102.0,771.0,0.0,47.0,7.02,83.5,21.0,14.1,14.5
1.71,90,102.0,771.0,0.0,47.0,7.02,83.5,21.0,14.1,14.5
1.8,90,102.0,771.0,0.0,47.0,7.02,83.5,21.0,14.1,14.5
1.891,90,102.0,771.0,0.0,47.0,7.02,83.5,21.0,14.1,14.5
1.981,90,102.0,767.0,0.0,47.0,7.02,83.5,21.0,14.1,14.5
2.071,90,102.0,767.0,0.0,47.0,7.02,83.5,21.0,14.1,14.5
2.161,90,102.0,767.0,0.0,47.0,7.02,83.5,21.0,14.1,14.5
2.25,90,102.0,767.0,0.0,47.0,9.02,83.5,21.0,14.1,14.5
2.34,90,102.0,767.0,0.0,47.0,9.02,83.5,21.0,14.1,14.5
2.43,90,102.0,767.0,0.0,47.0,9.02,83.5,21.0,14.1,14.5
2.527,90,102.0,767.0,0.0,47.0,9.02,83.5,21.0,22.0,14.5
2.61,90,102.0,767.0,0.0,47.0,9.02,83.5,21.0,22.0,22.0
2.701,90,102.0,767.0,0.0,47.0,9.02,83.5,21.0,22.0,22.0
2.79,90,105.0,767.0,0.0,47.0,9.02,83.5,21.0,22.0,22.0
2.881,90,105.0,984.0,0.0,47.0,9.02,83.5,21.0,22.0,22.0
2.971,90,105.0,984.0,3.0,47.0,9.02,83.5,21.0,22.0,22.0
3.061,90,105.0,984.0,3.0,52.0,9.02,83.5,21.0,22.0,22.0
3.15,90,105.0,984.0,3.0,52.0,13.08,83.5,21.0,22.0,22.0
3.24,90,105.0,984.0,3.0,52.0,13.08,83.5,21.0,22.0,22.0
3.361,90,105.0,984.0,3.0,52.0,13.08,83.5,21.0,22.0,22.0
3.453,90,105.0,984.0,3.0,52.0,13.08,83.5,21.0,22.0,22.0
3.54,90,105.0,984.0,3.0,52.0,13.08,83.5,21.0,22.0,21.6
3.631,90,105.0,984.0,3.0,52.0,13.08,83.5,21.0,22.0,21.6
3.721,90,109.0,984.0,3.0,52.0,13.08,83.5,21.0,22.0,21.6
3.811,90,109.0,1103.0,3.0,52.0,13.08,83.5,21.0,22.0,21.6
3.9,90,109.0,1103.0,10.0,52.0,13.08,83.5,21.0,22.0,21.6
3.991,90,109.0,1103.0,10.0,53.0,13.08,83.5,21.0,22.0,21.6
4.081,90,109.0,1103.0,10.0,53.0,13.38,83.5,21.0,22.0,21.6
4.171,90,109.0,1103.0,10.0,53.0,13.38,83.5,21.0,22.0,21.6
4.261,90,109.0,1103.0,10.0,53.0,13.38,83.5,21.0,22.0,21.6
4.35,90,109.0,1103.0,10.0,53.0,13.38,83.5,21.0,25.5,21.6
4.442,90,109.0,1103.0,10.0,53.0,13.38,83.5,21.0,25.5,25.1
4.533,90,109.0,1103.0,10.0,53.0,13.38,83.5,21.0,25.5,25.1
4.651,90,107.0,1103.0,10.0,53.0,13.38,83.5,21.0,25.5,25.1
4.741,90,107.0,1353.0,10.0,53.0,13.38,83.5,21.0,25.5,25.1
4.83,90,107.0,1353.0,12.0,53.0,13.38,83.5,21.0,25.5,25.1
4.92,90,107.0,1353.0,12.0,52.0,13.38,83.5,21.0,25.5,25.1
5.01,90,107.0,1353.0,12.0,52.0,13.22,83.5,21.0,25.5,25.1
5.1,90,107.0,1353.0,12.0,52.0,13.22,83.5,21.0,25.5,25.1
5.19,90,107.0,1353.0,12.0,52.0,13.22,83.5,21.0,25.5,25.1
5.281,90,107.0,1353.0,12.0,52.0,13.22,83.5,21.0,24.7,25.1
5.37,90,107.0,1353.0,12.0,52.0,13.22,83.5,21.0,24.7,24.7
5.491,90,107.0,1353.0,12.0,52.0,13.22,83.5,21.0,24.7,24.7
5.591,90,105.0,1353.0,12.0,52.0,13.22,83.5,21.0,24.7,24.7
5.701,90,105.0,1412.0,12.0,52.0,13.22,83.5,21.0,24.7,24.7
5.791,90,105.0,1412.0,12.0,52.0,13.22,83.5,21.0,24.7,24.7
5.881,90,105.0,1412.0,12.0,51.0,13.22,83.5,21.0,24.7,24.7
