timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
0.691,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
0.78,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
0.841,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
0.931,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
0.991,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
1.081,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
1.142,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
1.231,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
1.322,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
1.382,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
1.443,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
1.53,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
1.592,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
1.681,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
1.771,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
1.861,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
1.951,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
2.041,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
2.131,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
2.221,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
2.311,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
2.401,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
2.491,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
2.581,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
