timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
0.811,42,99.0,813.0,0.0,17.0,9.86,14.9,16.0,14.1,14.5
0.901,42,99.0,813.0,0.0,17.0,9.86,14.9,16.0,14.1,14.5
0.991,42,39.0,813.0,0.0,17.0,9.86,14.9,16.0,14.1,14.5
1.082,42,39.0,307.0,0.0,17.0,9.86,14.9,16.0,14.1,14.5
1.171,42,39.0,307.0,0.0,17.0,9.86,14.9,16.0,14.1,14.5
1.291,42,39.0,307.0,0.0,10.0,9.86,14.9,16.0,14.1,14.5
1.381,42,39.0,307.0,0.0,10.0,1.33,14.9,16.0,14.1,14.5
1.471,42,39.0,307.0,0.0,10.0,1.33,13.7,16.0,14.1,14.5
1.561,42,39.0,307.0,0.0,10.0,1.33,13.7,16.0,14.1,14.5
1.651,42,39.0,307.0,0.0,10.0,1.33,13.7,16.0,14.1,14.5
1.741,42,39.0,307.0,0.0,10.0,1.33,13.7,16.0,14.1,14.5
1.831,43,39.0,307.0,0.0,10.0,1.33,13.7,16.0,14.1,14.5
1.921,43,43.0,307.0,0.0,10.0,1.33,13.7,16.0,14.1,14.5
2.011,43,43.0,0.0,0.0,10.0,1.33,13.7,16.0,14.1,14.5
2.103,43,43.0,0.0,0.0,10.0,1.33,13.7,16.0,14.1,14.5
2.192,43,43.0,0.0,0.0,14.0,1.33,13.7,16.0,14.1,14.5
2.281,43,43.0,0.0,0.0,14.0,0.0,13.7,16.0,14.1,14.5
2.372,43,43.0,0.0,0.0,14.0,0.0,13.7,16.0,14.1,14.5
2.461,43,43.0,0.0,0.0,14.0,0.0,13.7,16.0,14.1,14.5
2.551,43,43.0,0.0,0.0,14.0,0.0,13.7,16.0,14.1,14.5
2.641,43,43.0,0.0,0.0,14.0,0.0,13.7,16.0,14.1,14.5
2.731,43,43.0,0.0,0.0,14.0,0.0,13.7,16.0,14.1,14.5
2.821,43,52.0,0.0,0.0,14.0,0.0,13.7,16.0,14.1,14.5
2.911,43,52.0,0.0,0.0,14.0,0.0,13.7,16.0,14.1,14.5
3.002,43,52.0,0.0,0.0,14.0,0.0,13.7,16.0,14.1,14.5
3.091,43,52.0,0.0,0.0,84.0,0.0,13.7,16.0,14.1,14.5
3.181,43,52.0,0.0,0.0,84.0,0.0,13.7,16.0,14.1,14.5
3.271,43,52.0,0.0,0.0,84.0,0.0,81.6,16.0,14.1,14.5
3.361,43,52.0,0.0,0.0,84.0,0.0,81.6,16.0,14.1,14.5
3.451,43,52.0,0.0,0.0,84.0,0.0,81.6,16.0,14.1,14.5
3.541,43,52.0,0.0,0.0,84.0,0.0,81.6,16.0,14.1,14.5
3.631,43,52.0,0.0,0.0,84.0,0.0,81.6,16.0,14.1,14.5
3.721,43,96.0,0.0,0.0,84.0,0.0,81.6,16.0,14.1,14.5
3.812,43,96.0,0.0,0.0,84.0,0.0,81.6,16.0,14.1,14.5
3.901,43,96.0,0.0,0.0,84.0,0.0,81.6,16.0,14.1,14.5
3.991,43,96.0,0.0,0.0,118.0,0.0,81.6,16.0,14.1,14.5
4.081,43,96.0,0.0,0.0,118.0,0.0,81.6,16.0,14.1,14.5
4.171,43,96.0,0.0,0.0,118.0,0.0,88.6,16.0,14.1,14.5
4.261,43,96.0,0.0,0.0,118.0,0.0,88.6,16.0,14.1,14.5
4.352,43,96.0,0.0,0.0,118.0,0.0,88.6,16.0,14.1,14.5
4.441,43,96.0,0.0,0.0,118.0,0.0,88.6,16.0,14.1,14.5
4.531,43,96.0,0.0,0.0,118.0,0.0,88.6,16.0,14.1,14.5
4.621,43,95.0,0.0,0.0,118.0,0.0,88.6,16.0,14.1,14.5
4.711,43,95.0,0.0,0.0,118.0,0.0,88.6,16.0,14.1,14.5
4.801,43,95.0,0.0,0.0,118.0,0.0,88.6,16.0,14.1,14.5
4.891,43,95.0,0.0,0.0,134.0,0.0,88.6,16.0,14.1,14.5
4.981,43,95.0,0.0,0.0,134.0,0.0,88.6,16.0,14.1,14.5
5.071,43,95.0,0.0,0.0,134.0,0.0,88.6,16.0,14.1,14.5
5.161,43,95.0,0.0,0.0,134.0,0.0,88.6,16.0,14.1,14.5
5.252,43,95.0,0.0,0.0,134.0,0.0,88.6,16.0,14.1,14.5
5.341,43,95.0,0.0,0.0,134.0,0.0,88.6,16.0,14.1,14.5
5.431,43,95.0,0.0,0.0,134.0,0.0,88.6,16.0,14.1,14.5
5.521,43,95.0,0.0,0.0,134.0,0.0,88.6,16.0,14.1,14.5
