timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
0.87,25,97.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
0.931,25,97.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
1.02,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
1.081,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
1.17,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
1.231,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
1.32,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
1.381,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
1.47,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
1.531,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
1.62,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
1.681,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
1.77,25,97.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
1.831,25,97.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
1.92,25,97.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
1.981,25,97.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
2.071,25,97.0,0.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
2.131,25,97.0,0.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
2.22,25,97.0,0.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
2.281,25,97.0,0.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
2.37,25,97.0,0.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
2.431,25,97.0,0.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
2.52,25,93.0,0.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
2.581,25,93.0,1090.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
2.67,25,93.0,1090.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
2.731,25,93.0,1090.0,0.0,19.0,2.88,89.0,18.0,14.1,14.5
2.821,25,93.0,1090.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
2.881,25,93.0,1090.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
2.97,25,93.0,1090.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
3.031,25,93.0,1090.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
3.12,25,93.0,1090.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
3.181,25,93.0,1090.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
3.271,25,95.0,1090.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
3.331,25,95.0,960.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
3.42,25,95.0,960.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
3.481,25,95.0,960.0,0.0,33.0,17.61,89.0,18.0,14.1,14.5
3.57,25,95.0,960.0,0.0,33.0,15.99,89.0,18.0,14.1,14.5
3.631,25,95.0,960.0,0.0,33.0,15.99,83.1,18.0,14.1,14.5
3.72,25,95.0,960.0,0.0,33.0,15.99,83.1,18.0,14.1,14.5
3.781,25,95.0,960.0,0.0,33.0,15.99,83.1,18.0,14.1,14.5
3.871,25,95.0,960.0,0.0,33.0,15.99,83.1,18.0,14.1,14.5
3.932,25,95.0,960.0,0.0,33.0,15.99,83.1,18.0,14.1,14.5
4.022,25,96.0,960.0,0.0,33.0,15.99,83.1,18.0,14.1,14.5
4.082,25,96.0,901.0,0.0,33.0,15.99,83.1,18.0,14.1,14.5
4.171,25,96.0,901.0,0.0,33.0,15.99,83.1,18.0,14.1,14.5
4.232,25,96.0,901.0,0.0,34.0,15.99,83.1,18.0,14.1,14.5
4.321,25,96.0,901.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
4.384,25,96.0,901.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
4.472,25,96.0,901.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
4.533,25,96.0,901.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
4.621,25,96.0,901.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
4.682,25,96.0,901.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
4.771,25,96.0,901.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
4.832,25,96.0,886.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
4.921,25,96.0,886.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
4.982,25,96.0,886.0,0.0,33.0,15.11,83.1,18.0,14.1,14.5
5.07,25,96.0,886.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
5.131,25,96.0,886.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
5.22,25,96.0,886.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
5.282,25,96.0,886.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
5.371,25,96.0,886.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
5.432,25,96.0,886.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
5.521,25,96.0,886.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
5.582,25,96.0,863.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
5.672,25,96.0,863.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
5.732,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,14.1,14.5
5.821,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,14.1,14.5
5.882,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,14.1,14.5
5.971,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,14.1,14.5
6.031,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,15.7,14.5
6.12,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,15.7,15.3
6.211,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,15.7,15.3
6.271,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,15.7,15.3
