timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
0.749,27,100.0,861.0,0.0,25.0,9.58,83.1,21.0,14.1,14.5
0.84,27,100.0,861.0,0.0,25.0,9.58,83.1,21.0,14.1,14.5
0.93,27,100.0,861.0,0.0,25.0,9.58,83.1,21.0,14.1,14.5
1.019,27,100.0,862.0,0.0,25.0,9.58,83.1,21.0,14.1,14.5
1.11,27,100.0,862.0,0.0,25.0,9.58,83.1,21.0,14.1,14.5
1.2,27,100.0,862.0,0.0,24.0,9.58,83.1,21.0,14.1,14.5
1.289,27,100.0,862.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
1.38,27,100.0,862.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
1.47,27,100.0,862.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
1.56,27,100.0,862.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
1.65,27,100.0,862.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
1.741,27,100.0,862.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
1.83,27,100.0,862.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
1.92,27,100.0,861.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
2.01,27,100.0,861.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
2.1,27,100.0,861.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
2.19,27,100.0,861.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
2.28,27,100.0,861.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
2.37,27,100.0,861.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
2.46,27,100.0,861.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
2.549,27,100.0,861.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
2.64,27,100.0,861.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
2.729,27,100.0,861.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
2.819,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
2.94,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
3.03,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
3.121,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
3.21,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
3.3,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
3.389,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
3.48,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
3.57,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
3.66,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
3.75,27,100.0,860.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
3.842,27,100.0,860.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
3.93,27,100.0,860.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
4.02,27,100.0,860.0,0.0,24.0,9.61,83.1,21.0,14.1,14.5
4.11,27,100.0,860.0,0.0,24.0,9.61,83.1,21.0,14.1,14.5
4.2,27,100.0,860.0,0.0,24.0,9.61,83.1,21.0,14.1,14.5
4.29,27,100.0,860.0,0.0,24.0,9.61,83.1,21.0,15.3,14.5
4.38,27,100.0,860.0,0.0,24.0,9.61,83.1,21.0,15.3,14.9
4.47,27,100.0,860.0,0.0,24.0,9.61,83.1,21.0,15.3,14.9
4.56,27,100.0,860.0,0.0,24.0,9.61,83.1,21.0,15.3,14.9
4.65,27,100.0,950.0,0.0,24.0,9.61,83.1,21.0,15.3,14.9
4.74,27,100.0,950.0,0.0,24.0,9.61,83.1,21.0,15.3,14.9
4.83,27,100.0,950.0,0.0,24.0,9.61,83.1,21.0,15.3,14.9
4.92,27,100.0,950.0,0.0,24.0,10.97,83.1,21.0,15.3,14.9
5.01,27,100.0,950.0,0.0,24.0,10.97,83.1,21.0,15.3,14.9
5.1,27,100.0,950.0,0.0,24.0,10.97,83.1,21.0,15.3,14.9
5.19,27,100.0,950.0,0.0,24.0,10.97,83.1,21.0,15.3,14.9
5.281,27,100.0,950.0,0.0,24.0,10.97,83.1,21.0,15.3,15.3
5.37,27,100.0,950.0,0.0,24.0,10.97,83.1,21.0,15.3,15.3
5.46,27,101.0,950.0,0.0,24.0,10.97,83.1,21.0,15.3,15.3
5.55,27,101.0,922.0,0.0,24.0,10.97,83.1,21.0,15.3,15.3
5.64,27,101.0,922.0,0.0,24.0,10.97,83.1,21.0,15.3,15.3
5.73,27,101.0,922.0,0.0,26.0,10.97,83.1,21.0,15.3,15.3
5.819,27,101.0,922.0,0.0,26.0,10.33,83.1,21.0,15.3,15.3
5.91,27,101.0,922.0,0.0,26.0,10.33,83.1,21.0,15.3,15.3
6.0,27,101.0,922.0,0.0,26.0,10.33,83.1,21.0,15.3,15.3
6.09,27,101.0,922.0,0.0,26.0,10.33,83.1,21.0,15.3,15.3
6.181,27,101.0,922.0,0.0,26.0,10.33,83.1,21.0,15.3,15.3
6.273,27,101.0,922.0,0.0,26.0,10.33,83.1,21.0,15.3,15.3
6.361,27,101.0,922.0,0.0,26.0,10.33,83.1,21.0,15.3,15.3
6.45,27,101.0,935.0,0.0,26.0,10.33,83.1,21.0,15.3,15.3
6.541,27,101.0,935.0,0.0,26.0,10.33,83.1,21.0,15.3,15.3
6.63,27,101.0,935.0,0.0,25.0,10.33,83.1,21.0,15.3,15.3
6.72,27,101.0,935.0,0.0,25.0,10.49,83.1,21.0,15.3,15.3
6.81,27,101.0,935.0,0.0,25.0,10.49,83.1,21.0,15.3,15.3
6.902,27,101.0,935.0,0.0,25.0,10.49,83.1,21.0,15.3,15.3
6.991,27,101.0,935.0,0.0,25.0,10.49,83.1,21.0,14.1,15.3
7.08,27,101.0,935.0,0.0,25.0,10.49,83.1,21.0,14.1,14.5
7.17,27,101.0,935.0,0.0,25.0,10.49,83.1,21.0,14.1,14.5
7.26,27,101.0,935.0,0.0,25.0,10.49,83.1,21.0,14.1,14.5
7.35,27,101.0,973.0,0.0,25.0,10.49,83.1,21.0,14.1,14.5
7.44,27,101.0,973.0,1.0,25.0,10.49,83.1,21.0,14.1,14.5
7.53,27,101.0,973.0,1.0,25.0,10.49,83.1,21.0,14.1,14.5
7.62,27,101.0,973.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
7.71,27,101.0,973.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
7.8,27,101.0,973.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
7.89,27,101.0,973.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
7.98,27,101.0,973.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
8.07,28,101.0,973.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
8.16,28,102.0,973.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
8.25,28,102.0,980.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
8.341,28,102.0,980.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
8.431,28,102.0,980.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
8.52,28,102.0,980.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
8.61,28,102.0,980.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
8.699,28,102.0,980.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
8.79,28,102.0,980.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
8.88,28,102.0,980.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
8.972,28,102.0,980.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
9.059,28,102.0,980.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
9.149,28,102.0,928.0,1.0,25.0,11.11,83.1,21.0,14.1,14.5
