timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
0.809,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
0.9,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
0.99,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
1.08,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
1.17,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
1.26,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
1.351,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
1.441,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
1.531,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
1.65,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
1.74,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
1.83,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
1.951,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
2.041,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
2.134,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
2.22,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
2.31,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
2.4,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
2.49,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
2.58,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
2.67,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
2.76,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
2.85,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
2.94,32,99.0,146.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
3.03,32,99.0,146.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
3.12,32,99.0,146.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
3.211,32,99.0,146.0,0.0,23.0,8.77,89.0,22.0,14.1,14.5
3.301,32,99.0,146.0,0.0,23.0,8.77,87.5,22.0,14.1,14.5
3.39,32,99.0,146.0,0.0,23.0,8.77,87.5,22.0,14.1,14.5
3.479,32,99.0,146.0,0.0,23.0,8.77,87.5,22.0,14.1,14.5
3.57,32,99.0,146.0,0.0,23.0,8.77,87.5,22.0,14.1,14.5
3.659,32,99.0,146.0,0.0,23.0,8.77,87.5,22.0,14.1,14.5
3.749,32,97.0,146.0,0.0,23.0,8.77,87.5,22.0,14.1,14.5
3.84,32,97.0,995.0,0.0,23.0,8.77,87.5,22.0,14.1,14.5
3.929,32,97.0,995.0,0.0,23.0,8.77,87.5,22.0,14.1,14.5
4.019,32,97.0,995.0,0.0,28.0,8.77,87.5,22.0,14.1,14.5
4.109,32,97.0,995.0,0.0,28.0,9.94,87.5,22.0,14.1,14.5
4.199,32,97.0,995.0,0.0,28.0,9.94,83.1,22.0,14.1,14.5
4.289,32,97.0,995.0,0.0,28.0,9.94,83.1,22.0,14.1,14.5
4.35,32,97.0,995.0,0.0,28.0,9.94,83.1,22.0,14.1,14.5
4.44,32,97.0,995.0,0.0,28.0,9.94,83.1,22.0,14.1,14.5
4.529,32,97.0,995.0,0.0,28.0,9.94,83.1,22.0,14.1,14.5
4.62,32,99.0,995.0,0.0,28.0,9.94,83.1,22.0,14.1,14.5
4.71,32,99.0,890.0,0.0,28.0,9.94,83.1,22.0,14.1,14.5
4.8,32,99.0,890.0,0.0,28.0,9.94,83.1,22.0,14.1,14.5
4.89,32,99.0,890.0,0.0,37.0,9.94,83.1,22.0,14.1,14.5
4.98,32,99.0,890.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
5.07,32,99.0,890.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
5.16,32,99.0,890.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
5.25,32,99.0,890.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
5.34,32,99.0,890.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
5.43,32,99.0,890.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
5.52,32,99.0,890.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
5.611,32,99.0,862.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
5.701,32,99.0,862.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
5.791,32,99.0,862.0,0.0,34.0,8.91,83.1,22.0,14.1,14.5
5.88,32,99.0,862.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
5.97,32,99.0,862.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
6.06,32,99.0,862.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
6.15,32,99.0,862.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
6.24,32,99.0,862.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
6.301,32,99.0,862.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
6.39,32,99.0,862.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
6.48,32,99.0,839.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
6.57,32,99.0,839.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
6.661,32,99.0,839.0,0.0,33.0,8.8,83.1,22.0,14.1,14.5
6.75,32,99.0,839.0,0.0,33.0,8.91,83.1,22.0,14.1,14.5
6.84,32,99.0,839.0,0.0,33.0,8.91,83.1,22.0,14.1,14.5
6.93,32,99.0,839.0,0.0,33.0,8.91,83.1,22.0,14.1,14.5
7.02,32,99.0,839.0,0.0,33.0,8.91,83.1,22.0,14.1,14.5
7.11,32,99.0,839.0,0.0,33.0,8.91,83.1,22.0,14.1,14.5
7.2,32,99.0,839.0,0.0,33.0,8.91,83.1,22.0,14.1,14.5
7.29,32,99.0,839.0,0.0,33.0,8.91,83.1,22.0,14.1,14.5
7.38,32,99.0,817.0,0.0,33.0,8.91,83.1,22.0,14.1,14.5
7.47,32,99.0,817.0,0.0,33.0,8.91,83.1,22.0,14.1,14.5
7.563,32,99.0,817.0,0.0,32.0,8.91,83.1,22.0,14.1,14.5
7.65,32,99.0,817.0,0.0,32.0,8.88,83.1,22.0,14.1,14.5
7.74,32,99.0,817.0,0.0,32.0,8.88,83.1,22.0,14.1,14.5
7.829,32,99.0,817.0,0.0,32.0,8.88,83.1,22.0,14.1,14.5
7.92,32,99.0,817.0,0.0,32.0,8.88,83.1,22.0,14.1,14.5
8.01,32,99.0,817.0,0.0,32.0,8.88,83.1,22.0,14.1,14.5
8.1,32,99.0,817.0,0.0,32.0,8.88,83.1,22.0,14.1,14.5
8.19,32,99.0,817.0,0.0,32.0,8.88,83.1,22.0,14.1,14.5
8.28,32,99.0,815.0,0.0,32.0,8.88,83.1,22.0,14.1,14.5
8.37,32,99.0,815.0,0.0,32.0,8.88,83.1,22.0,14.1,14.5
8.462,32,99.0,815.0,0.0,31.0,8.88,83.1,22.0,14.1,14.5
8.55,32,99.0,815.0,0.0,31.0,9.22,83.1,22.0,14.1,14.5
8.64,32,99.0,815.0,0.0,31.0,9.22,83.1,22.0,14.1,14.5
8.702,32,99.0,815.0,0.0,31.0,9.22,83.1,22.0,14.1,14.5
8.79,32,99.0,815.0,0.0,31.0,9.22,83.1,22.0,14.1,14.5
8.88,32,99.0,815.0,0.0,31.0,9.22,83.1,22.0,14.1,14.5
8.97,32,99.0,815.0,0.0,31.0,9.22,83.1,22.0,14.1,14.5
9.06,32,99.0,815.0,0.0,31.0,9.22,83.1,22.0,14.1,14.5
9.15,32,99.0,847.0,0.0,31.0,9.22,83.1,22.0,14.1,14.5
9.24,32,99.0,847.0,0.0,31.0,9.22,83.1,22.0,14.1,14.5
9.33,32,99.0,847.0,0.0,31.0,9.22,83.1,22.0,14.1,14.5
9.42,32,99.0,847.0,0.0,31.0,9.3,83.1,22.0,14.1,14.5
9.51,32,99.0,847.0,0.0,31.0,9.3,83.1,22.0,14.1,14.5
9.6,32,99.0,847.0,0.0,31.0,9.3,83.1,22.0,14.1,14.5
9.69,32,99.0,847.0,0.0,31.0,9.3,83.1,22.0,14.1,14.5
9.78,32,99.0,847.0,0.0,31.0,9.3,83.1,22.0,14.1,14.5
9.87,32,99.0,847.0,0.0,31.0,9.3,83.1,22.0,14.1,14.5
9.96,32,99.0,847.0,0.0,31.0,9.3,83.1,22.0,14.1,14.5
10.05,32,99.0,958.0,0.0,31.0,9.3,83.1,22.0,14.1,14.5
10.14,32,99.0,958.0,0.0,31.0,9.3,83.1,22.0,14.1,14.5
10.23,32,99.0,958.0,0.0,32.0,9.3,83.1,22.0,14.1,14.5
10.32,32,99.0,958.0,0.0,32.0,10.38,83.1,22.0,14.1,14.5
10.41,32,99.0,958.0,0.0,32.0,10.38,83.1,22.0,14.1,14.5
10.502,32,99.0,958.0,0.0,32.0,10.38,83.1,22.0,14.1,14.5
10.59,32,99.0,958.0,0.0,32.0,10.38,83.1,22.0,14.1,14.5
10.651,32,99.0,958.0,0.0,32.0,10.38,83.1,22.0,14.1,14.5
10.742,32,99.0,958.0,0.0,32.0,10.38,83.1,22.0,14.1,14.5
10.804,32,100.0,958.0,0.0,32.0,10.38,83.1,22.0,14.1,14.5
10.892,32,100.0,955.0,0.0,32.0,10.38,83.1,22.0,14.1,14.5
10.981,32,100.0,955.0,0.0,32.0,10.38,83.1,22.0,14.1,14.5
11.071,32,100.0,955.0,0.0,33.0,10.38,83.1,22.0,14.1,14.5
11.161,32,100.0,955.0,0.0,33.0,10.41,83.1,22.0,14.1,14.5
11.251,32,100.0,955.0,0.0,33.0,10.41,83.1,22.0,14.1,14.5
11.341,32,100.0,955.0,0.0,33.0,10.41,83.1,22.0,14.1,14.5
11.402,32,100.0,955.0,0.0,33.0,10.41,83.1,22.0,14.1,14.5
11.49,32,100.0,955.0,0.0,33.0,10.41,83.1,22.0,14.1,14.5
11.551,32,100.0,955.0,0.0,33.0,10.41,83.1,22.0,14.1,14.5
11.641,32,101.0,955.0,0.0,33.0,10.41,83.1,22.0,14.1,14.5
11.731,32,101.0,958.0,0.0,33.0,10.41,83.1,22.0,14.1,14.5
11.822,32,101.0,958.0,0.0,33.0,10.41,83.1,22.0,14.1,14.5
11.917,32,101.0,958.0,0.0,32.0,10.41,83.1,22.0,14.1,14.5
12.001,32,101.0,958.0,0.0,32.0,10.33,83.1,22.0,14.1,14.5
12.091,32,101.0,958.0,0.0,32.0,10.33,83.1,22.0,14.1,14.5
12.18,32,101.0,958.0,0.0,32.0,10.33,83.1,22.0,14.1,14.5
12.271,32,101.0,958.0,0.0,32.0,10.33,83.1,22.0,14.1,14.5
12.362,32,101.0,958.0,0.0,32.0,10.33,83.1,22.0,14.1,14.5
12.451,32,101.0,958.0,0.0,32.0,10.33,83.1,22.0,14.1,14.5
12.541,32,101.0,958.0,0.0,32.0,10.33,83.1,22.0,14.1,14.5
12.604,32,101.0,968.0,0.0,32.0,10.33,83.1,22.0,14.1,14.5
12.691,32,101.0,968.0,0.0,32.0,10.33,83.1,22.0,14.1,14.5
12.751,32,101.0,968.0,0.0,32.0,10.33,83.1,22.0,14.1,14.5
12.841,32,101.0,968.0,0.0,32.0,10.58,83.1,22.0,14.1,14.5
12.931,32,101.0,968.0,0.0,32.0,10.58,83.1,22.0,14.1,14.5
13.021,32,101.0,968.0,0.0,32.0,10.58,83.1,22.0,14.1,14.5
13.11,32,101.0,968.0,0.0,32.0,10.58,83.1,22.0,14.1,14.5
13.2,32,101.0,968.0,0.0,32.0,10.58,83.1,22.0,14.1,14.5
13.322,32,101.0,968.0,0.0,32.0,10.58,83.1,22.0,14.1,14.5
13.411,32,102.0,968.0,0.0,32.0,10.58,83.1,22.0,14.1,14.5
13.501,32,102.0,959.0,0.0,32.0,10.58,83.1,22.0,14.1,14.5
