timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
1.14,75,101.0,941.0,16.0,50.0,7.88,83.5,26.0,22.0,22.0
1.264,75,101.0,941.0,16.0,50.0,7.88,83.5,26.0,22.0,22.0
1.442,75,101.0,941.0,16.0,50.0,7.88,83.5,26.0,22.0,22.0
1.562,75,101.0,965.0,16.0,50.0,7.88,83.5,26.0,22.0,22.0
1.681,75,101.0,965.0,16.0,50.0,7.88,83.5,26.0,22.0,22.0
1.861,75,101.0,965.0,16.0,50.0,7.88,83.5,26.0,22.0,22.0
1.951,75,101.0,965.0,16.0,50.0,12.05,83.5,26.0,22.0,22.0
2.074,75,101.0,965.0,16.0,50.0,12.05,83.5,26.0,22.0,22.0
2.165,75,101.0,965.0,16.0,50.0,12.05,83.5,26.0,22.0,22.0
2.292,75,101.0,965.0,16.0,50.0,12.05,83.5,26.0,34.5,22.0
2.371,75,101.0,965.0,16.0,50.0,12.05,83.5,26.0,34.5,34.5
2.492,75,101.0,965.0,16.0,50.0,12.05,83.5,26.0,34.5,34.5
2.583,75,105.0,965.0,16.0,50.0,12.05,83.5,26.0,34.5,34.5
2.672,75,105.0,1104.0,16.0,50.0,12.05,83.5,26.0,34.5,34.5
2.82,75,105.0,1104.0,19.0,50.0,12.05,83.5,26.0,34.5,34.5
2.97,75,105.0,1104.0,19.0,53.0,12.05,83.5,26.0,34.5,34.5
3.09,75,105.0,1104.0,19.0,53.0,12.3,83.5,26.0,34.5,34.5
3.305,75,105.0,1104.0,19.0,53.0,12.3,83.5,26.0,34.5,34.5
3.396,75,105.0,1104.0,19.0,53.0,12.3,83.5,26.0,34.5,34.5
3.512,75,105.0,1104.0,19.0,53.0,12.3,83.5,26.0,29.8,34.5
3.631,75,105.0,1104.0,19.0,53.0,12.3,83.5,26.0,29.8,28.2
3.81,75,105.0,1104.0,19.0,53.0,12.3,83.5,26.0,29.8,28.2
3.903,75,108.0,1104.0,19.0,53.0,12.3,83.5,26.0,29.8,28.2
4.023,75,108.0,1212.0,19.0,53.0,12.3,83.5,26.0,29.8,28.2
4.113,75,108.0,1212.0,21.0,53.0,12.3,83.5,26.0,29.8,28.2
4.2,75,108.0,1212.0,21.0,53.0,12.3,83.5,26.0,29.8,28.2
4.35,75,108.0,1212.0,21.0,53.0,11.94,83.5,26.0,29.8,28.2
4.529,75,108.0,1212.0,21.0,53.0,11.94,83.5,26.0,29.8,28.2
4.651,75,108.0,1212.0,21.0,53.0,11.94,83.5,25.0,29.8,28.2
4.864,75,108.0,1212.0,21.0,53.0,11.94,83.5,25.0,26.7,28.2
4.952,75,108.0,1212.0,21.0,53.0,11.94,83.5,25.0,26.7,27.1
5.042,75,108.0,1212.0,21.0,53.0,11.94,83.5,25.0,26.7,27.1
5.131,75,103.0,1212.0,21.0,53.0,11.94,83.5,25.0,26.7,27.1
5.251,75,103.0,1234.0,21.0,53.0,11.94,83.5,25.0,26.7,27.1
5.341,75,103.0,1234.0,21.0,53.0,11.94,83.5,25.0,26.7,27.1
5.46,75,103.0,1234.0,21.0,53.0,11.94,83.5,25.0,26.7,27.1
5.581,75,103.0,1234.0,21.0,53.0,11.69,83.5,25.0,26.7,27.1
5.7,75,103.0,1234.0,21.0,53.0,11.69,83.5,25.0,26.7,27.1
5.85,75,103.0,1234.0,21.0,53.0,11.69,83.5,25.0,26.7,27.1
5.97,75,103.0,1234.0,21.0,53.0,11.69,83.5,25.0,27.5,27.1
6.092,75,103.0,1234.0,21.0,53.0,11.69,83.5,25.0,27.5,27.5
6.27,76,103.0,1234.0,21.0,53.0,11.69,83.5,25.0,27.5,27.5
6.479,76,102.0,1234.0,21.0,53.0,11.69,83.5,25.0,27.5,27.5
6.571,76,102.0,1259.0,21.0,53.0,11.69,83.5,25.0,27.5,27.5
6.72,76,102.0,1259.0,21.0,53.0,11.69,83.5,25.0,27.5,27.5
6.902,76,102.0,1259.0,21.0,52.0,11.69,83.5,25.0,27.5,27.5
7.025,76,102.0,1259.0,21.0,52.0,11.27,83.5,25.0,27.5,27.5
7.139,76,102.0,1259.0,21.0,52.0,11.27,83.5,25.0,27.5,27.5
7.35,76,102.0,1259.0,21.0,52.0,11.27,83.5,25.0,27.5,27.5
7.44,76,102.0,1259.0,21.0,52.0,11.27,83.5,25.0,22.0,27.5
7.59,76,102.0,1259.0,21.0,52.0,11.27,83.5,25.0,22.0,22.4
7.71,76,102.0,1259.0,21.0,52.0,11.27,83.5,25.0,22.0,22.4
7.863,76,99.0,1259.0,21.0,52.0,11.27,83.5,25.0,22.0,22.4
7.951,76,99.0,1202.0,21.0,52.0,11.27,83.5,25.0,22.0,22.4
8.101,76,99.0,1202.0,20.0,52.0,11.27,83.5,25.0,22.0,22.4
8.222,76,99.0,1202.0,20.0,52.0,11.27,83.5,25.0,22.0,22.4
8.459,76,99.0,1202.0,20.0,52.0,9.8,83.5,25.0,22.0,22.4
8.551,76,99.0,1202.0,20.0,52.0,9.8,83.5,25.0,22.0,22.4
8.64,76,99.0,1202.0,20.0,52.0,9.8,83.5,25.0,22.0,22.4
8.764,76,99.0,1202.0,20.0,52.0,9.8,83.5,25.0,27.1,22.4
8.849,76,99.0,1202.0,20.0,52.0,9.8,83.5,25.0,27.1,27.1
8.94,76,99.0,1202.0,20.0,52.0,9.8,83.5,25.0,27.1,27.1
9.062,76,98.0,1202.0,20.0,52.0,9.8,83.5,25.0,27.1,27.1
9.181,76,98.0,1169.0,20.0,52.0,9.8,83.5,25.0,27.1,27.1
9.3,76,98.0,1169.0,20.0,52.0,9.8,83.5,25.0,27.1,27.1
9.449,76,98.0,1169.0,20.0,52.0,9.8,83.5,25.0,27.1,27.1
9.54,76,98.0,1169.0,20.0,52.0,11.11,83.5,25.0,27.1,27.1
9.69,76,98.0,1169.0,20.0,52.0,11.11,83.5,25.0,27.1,27.1
9.81,76,98.0,1169.0,20.0,52.0,11.11,83.5,25.0,27.1,27.1
9.902,76,98.0,1169.0,20.0,52.0,11.11,83.5,25.0,26.7,27.1
10.02,76,98.0,1169.0,20.0,52.0,11.11,83.5,25.0,26.7,26.7
10.17,76,98.0,1169.0,20.0,52.0,11.11,83.5,25.0,26.7,26.7
10.3,76,102.0,1169.0,20.0,52.0,11.11,83.5,25.0,26.7,26.7
10.47,76,102.0,1178.0,20.0,52.0,11.11,83.5,25.0,26.7,26.7
10.619,76,102.0,1178.0,20.0,52.0,11.11,83.5,25.0,26.7,26.7
10.8,76,102.0,1178.0,20.0,52.0,11.11,83.5,25.0,26.7,26.7
10.891,76,102.0,1178.0,20.0,52.0,11.38,83.5,25.0,26.7,26.7
11.01,76,102.0,1178.0,20.0,52.0,11.38,83.5,25.0,26.7,26.7
11.102,76,102.0,1178.0,20.0,52.0,11.38,83.5,25.0,26.7,26.7
11.19,76,102.0,1178.0,20.0,52.0,11.38,83.5,25.0,26.3,26.7
11.31,76,102.0,1178.0,20.0,52.0,11.38,83.5,25.0,26.3,26.3
11.52,76,102.0,1178.0,20.0,52.0,11.38,83.5,25.0,26.3,26.3
11.612,76,103.0,1178.0,20.0,52.0,11.38,83.5,25.0,26.3,26.3
11.703,76,103.0,1196.0,20.0,52.0,11.38,83.5,25.0,26.3,26.3
11.85,76,103.0,1196.0,20.0,52.0,11.38,83.5,25.0,26.3,26.3
12.06,76,103.0,1196.0,20.0,52.0,11.38,83.5,25.0,26.3,26.3
12.152,76,103.0,1196.0,20.0,52.0,11.3,83.5,25.0,26.3,26.3
12.241,76,103.0,1196.0,20.0,52.0,11.3,83.5,25.0,26.3,26.3
12.39,76,103.0,1196.0,20.0,52.0,11.3,83.5,25.0,26.3,26.3
12.48,76,103.0,1196.0,20.0,52.0,11.3,83.5,25.0,14.1,26.3
12.661,76,103.0,1196.0,20.0,52.0,11.3,83.5,25.0,14.1,14.5
12.751,76,103.0,1196.0,20.0,52.0,11.3,83.5,25.0,14.1,14.5
