timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
0.938,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
1.117,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
1.565,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
1.744,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
1.985,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
2.312,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
2.581,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
2.701,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
2.909,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
3.327,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
3.477,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
3.596,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
3.687,33,98.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
3.776,33,98.0,943.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
3.895,33,98.0,943.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
4.015,33,98.0,943.0,0.0,34.0,0.91,89.0,22.0,14.1,14.5
4.105,33,98.0,943.0,0.0,34.0,9.72,89.0,22.0,14.1,14.5
4.284,33,98.0,943.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
4.403,33,98.0,943.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
4.493,33,98.0,943.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
4.612,33,98.0,943.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
4.703,33,98.0,943.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
4.821,33,99.0,943.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
4.913,33,99.0,860.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
5.06,33,99.0,860.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
5.242,33,99.0,860.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
5.361,33,99.0,860.0,0.0,34.0,8.72,83.1,22.0,14.1,14.5
5.539,33,99.0,860.0,0.0,34.0,8.72,83.1,22.0,14.1,14.5
5.747,33,99.0,860.0,0.0,34.0,8.72,83.1,22.0,14.1,14.5
5.838,33,99.0,860.0,0.0,34.0,8.72,83.1,22.0,14.9,14.5
5.988,33,99.0,860.0,0.0,34.0,8.72,83.1,22.0,14.9,14.5
6.166,33,99.0,860.0,0.0,34.0,8.72,83.1,22.0,14.9,14.5
6.674,33,99.0,860.0,0.0,34.0,8.72,83.1,22.0,14.9,14.5
7.004,33,99.0,913.0,0.0,34.0,8.72,83.1,22.0,14.9,14.5
7.421,33,99.0,913.0,0.0,34.0,8.72,83.1,22.0,14.9,14.5
7.691,33,99.0,913.0,0.0,33.0,8.72,83.1,22.0,14.9,14.5
8.021,33,99.0,913.0,0.0,33.0,10.02,83.1,22.0,14.9,14.5
8.292,33,99.0,913.0,0.0,33.0,10.02,83.1,22.0,14.9,14.5
8.68,33,99.0,913.0,0.0,33.0,10.02,83.1,22.0,14.9,14.5
8.802,33,99.0,913.0,0.0,33.0,10.02,83.1,22.0,14.1,14.5
8.921,33,99.0,913.0,0.0,33.0,10.02,83.1,22.0,14.1,14.5
9.042,33,99.0,913.0,0.0,33.0,10.02,83.1,22.0,14.1,14.5
9.131,33,100.0,913.0,0.0,33.0,10.02,83.1,22.0,14.1,14.5
9.34,33,100.0,955.0,0.0,33.0,10.02,83.1,22.0,14.1,14.5
9.431,33,100.0,955.0,0.0,33.0,10.02,83.1,22.0,14.1,14.5
9.64,33,100.0,955.0,0.0,33.0,10.02,83.1,22.0,14.1,14.5
9.85,33,100.0,955.0,0.0,33.0,10.19,83.1,22.0,14.1,14.5
9.941,33,100.0,955.0,0.0,33.0,10.19,83.1,22.0,14.1,14.5
10.06,33,100.0,955.0,0.0,33.0,10.19,83.1,22.0,14.1,14.5
10.18,33,100.0,955.0,0.0,33.0,10.19,83.1,22.0,14.1,14.5
10.3,33,100.0,955.0,0.0,33.0,10.19,83.1,22.0,14.1,14.5
10.48,33,100.0,955.0,0.0,33.0,10.19,83.1,22.0,14.1,14.5
10.66,33,101.0,955.0,0.0,33.0,10.19,83.1,22.0,14.1,14.5
10.782,33,101.0,956.0,0.0,33.0,10.19,83.1,22.0,14.1,14.5
10.87,33,101.0,956.0,1.0,33.0,10.19,83.1,22.0,14.1,14.5
10.99,33,101.0,956.0,1.0,32.0,10.19,83.1,22.0,14.1,14.5
11.111,33,101.0,956.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
11.291,33,101.0,956.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
11.381,33,101.0,956.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
11.501,33,101.0,956.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
11.801,33,101.0,956.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
12.22,32,101.0,956.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
12.97,32,102.0,956.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
13.12,32,102.0,936.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
13.63,32,102.0,936.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
13.751,32,102.0,936.0,1.0,31.0,10.49,83.1,22.0,14.1,14.5
14.051,32,102.0,936.0,1.0,31.0,10.44,83.1,22.0,14.1,14.5
14.26,32,102.0,936.0,1.0,31.0,10.44,83.1,22.0,14.1,14.5
14.411,32,102.0,936.0,1.0,31.0,10.44,83.1,22.0,14.1,14.5
14.59,32,102.0,936.0,1.0,31.0,10.44,83.1,22.0,14.1,14.5
14.681,32,102.0,936.0,1.0,31.0,10.44,83.1,22.0,14.1,14.5
14.77,32,102.0,936.0,1.0,31.0,10.44,83.1,22.0,14.1,14.5
14.89,32,102.0,936.0,1.0,31.0,10.44,83.1,22.0,14.1,14.5
14.979,32,102.0,974.0,1.0,31.0,10.44,83.1,22.0,14.1,14.5
15.07,32,102.0,974.0,1.0,31.0,10.44,83.1,22.0,14.1,14.5
15.22,32,102.0,974.0,1.0,31.0,10.44,83.1,22.0,14.1,14.5
15.34,32,102.0,974.0,1.0,31.0,10.33,83.1,22.0,14.1,14.5
15.43,32,102.0,974.0,1.0,31.0,10.33,83.1,22.0,14.1,14.5
15.61,32,102.0,974.0,1.0,31.0,10.33,83.1,22.0,14.1,14.5
15.82,32,102.0,974.0,1.0,31.0,10.33,83.1,22.0,14.1,14.5
15.939,32,102.0,974.0,1.0,31.0,10.33,83.1,22.0,14.1,14.5
16.09,32,102.0,974.0,1.0,31.0,10.33,83.1,22.0,14.1,14.5
16.239,32,102.0,974.0,1.0,31.0,10.33,83.1,22.0,14.1,14.5
16.42,32,102.0,923.0,1.0,31.0,10.33,83.1,22.0,14.1,14.5
16.51,32,102.0,923.0,1.0,31.0,10.33,83.1,22.0,14.1,14.5
16.6,32,102.0,923.0,1.0,30.0,10.33,83.1,22.0,14.1,14.5
16.749,32,102.0,923.0,1.0,30.0,10.08,83.1,22.0,14.1,14.5
16.929,32,102.0,923.0,1.0,30.0,10.08,83.1,22.0,14.1,14.5
17.02,32,102.0,923.0,1.0,30.0,10.08,83.1,22.0,14.1,14.5
17.14,32,102.0,923.0,1.0,30.0,10.08,83.1,22.0,14.1,14.5
17.23,32,102.0,923.0,1.0,30.0,10.08,83.1,22.0,14.1,14.5
17.321,32,102.0,923.0,1.0,30.0,10.08,83.1,22.0,14.1,14.5
17.439,32,102.0,923.0,1.0,30.0,10.08,83.1,22.0,14.1,14.5
17.56,32,102.0,907.0,1.0,30.0,10.08,83.1,22.0,14.1,14.5
17.889,32,102.0,907.0,3.0,30.0,10.08,83.1,22.0,14.1,14.5
18.101,32,102.0,907.0,3.0,30.0,10.08,83.1,22.0,14.1,14.5
18.43,32,102.0,907.0,3.0,30.0,10.63,83.1,22.0,14.1,14.5
19.12,32,102.0,907.0,3.0,30.0,10.63,83.1,22.0,14.1,14.5
19.39,32,102.0,907.0,3.0,30.0,10.63,83.1,22.0,14.1,14.5
19.512,32,102.0,907.0,3.0,30.0,10.63,83.1,22.0,14.9,14.5
19.6,32,102.0,907.0,3.0,30.0,10.63,83.1,22.0,14.9,14.5
19.692,31,102.0,907.0,3.0,30.0,10.63,83.1,22.0,14.9,14.5
19.81,31,103.0,907.0,3.0,30.0,10.63,83.1,22.0,14.9,14.5
19.93,31,103.0,979.0,3.0,30.0,10.63,83.1,22.0,14.9,14.5
20.05,31,103.0,979.0,8.0,30.0,10.63,83.1,22.0,14.9,14.5
20.17,31,103.0,979.0,8.0,30.0,10.63,83.1,22.0,14.9,14.5
20.26,31,103.0,979.0,8.0,30.0,12.24,83.1,22.0,14.9,14.5
20.46,31,103.0,979.0,8.0,30.0,12.24,83.1,22.0,14.9,14.5
20.531,31,103.0,979.0,8.0,30.0,12.24,83.1,22.0,14.9,14.5
20.65,31,103.0,979.0,8.0,30.0,12.24,83.1,22.0,31.0,14.5
20.829,31,103.0,979.0,8.0,30.0,12.24,83.1,22.0,31.0,32.9
20.95,31,103.0,979.0,8.0,30.0,12.24,83.1,22.0,31.0,32.9
21.041,31,106.0,979.0,8.0,30.0,12.24,83.1,22.0,31.0,32.9
21.161,31,106.0,1376.0,8.0,30.0,12.24,83.1,22.0,31.0,32.9
21.25,31,106.0,1376.0,12.0,30.0,12.24,83.1,22.0,31.0,32.9
21.342,31,106.0,1376.0,12.0,32.0,12.24,83.1,22.0,31.0,32.9
21.461,31,106.0,1376.0,12.0,32.0,19.41,83.1,22.0,31.0,32.9
21.55,31,106.0,1376.0,12.0,32.0,19.41,83.1,22.0,31.0,32.9
21.7,31,106.0,1376.0,12.0,32.0,19.41,83.1,22.0,31.0,32.9
21.88,31,106.0,1376.0,12.0,32.0,19.41,83.1,22.0,38.4,32.9
22.001,31,106.0,1376.0,12.0,32.0,19.41,83.1,22.0,38.4,38.8
22.18,31,106.0,1376.0,12.0,32.0,19.41,83.1,22.0,38.4,38.8
22.361,31,121.0,1376.0,12.0,32.0,19.41,83.1,22.0,38.4,38.8
22.63,31,121.0,1525.0,12.0,32.0,19.41,83.1,22.0,38.4,38.8
22.812,31,121.0,1525.0,16.0,32.0,19.41,83.1,22.0,38.4,38.8
23.232,31,121.0,1525.0,16.0,34.0,19.41,83.1,22.0,38.4,38.8
23.411,31,121.0,1525.0,16.0,34.0,12.22,83.1,22.0,38.4,38.8
23.741,31,121.0,1525.0,16.0,34.0,12.22,83.5,22.0,38.4,38.8
24.1,31,121.0,1525.0,16.0,34.0,12.22,83.5,22.0,38.4,38.8
24.371,31,121.0,1525.0,16.0,34.0,12.22,83.5,22.0,14.1,38.8
24.641,31,121.0,1525.0,16.0,34.0,12.22,83.5,22.0,14.1,14.5
24.791,31,121.0,1525.0,16.0,34.0,12.22,83.5,22.0,14.1,14.5
24.94,31,102.0,1525.0,16.0,34.0,12.22,83.5,22.0,14.1,14.5
25.063,31,102.0,916.0,16.0,34.0,12.22,83.5,22.0,14.1,14.5
25.151,31,102.0,916.0,15.0,34.0,12.22,83.5,22.0,14.1,14.5
25.273,31,102.0,916.0,15.0,28.0,12.22,83.5,22.0,14.1,14.5
25.36,31,102.0,916.0,15.0,28.0,10.44,83.5,22.0,14.1,14.5
25.451,31,102.0,916.0,15.0,28.0,10.44,83.5,22.0,14.1,14.5
25.578,31,102.0,916.0,15.0,28.0,10.44,83.5,22.0,14.1,14.5
25.661,31,102.0,916.0,15.0,28.0,10.44,83.5,22.0,14.1,14.5
25.782,31,102.0,916.0,15.0,28.0,10.44,83.5,22.0,14.1,14.5
25.9,31,102.0,916.0,15.0,28.0,10.44,83.5,22.0,14.1,14.5
26.08,31,102.0,916.0,15.0,28.0,10.44,83.5,22.0,14.1,14.5
26.172,31,102.0,943.0,15.0,28.0,10.44,83.5,22.0,14.1,14.5
26.264,31,102.0,943.0,13.0,28.0,10.44,83.5,22.0,14.1,14.5
26.38,31,102.0,943.0,13.0,28.0,10.44,83.5,22.0,14.1,14.5
26.502,31,102.0,943.0,13.0,28.0,10.33,83.5,22.0,14.1,14.5
26.591,31,102.0,943.0,13.0,28.0,10.33,83.5,22.0,14.1,14.5
26.682,31,102.0,943.0,13.0,28.0,10.33,83.5,22.0,14.1,14.5
26.77,31,102.0,943.0,13.0,28.0,10.33,83.5,22.0,14.1,14.5
26.92,31,102.0,943.0,13.0,28.0,10.33,83.5,22.0,14.1,14.5
27.131,31,102.0,943.0,13.0,28.0,10.33,83.5,22.0,14.1,14.5
27.25,31,102.0,943.0,13.0,28.0,10.33,83.5,22.0,14.1,14.5
27.552,31,102.0,1014.0,13.0,28.0,10.33,83.5,22.0,14.1,14.5
27.852,31,102.0,1014.0,12.0,28.0,10.33,83.5,22.0,14.1,14.5
28.361,31,102.0,1014.0,12.0,28.0,10.33,83.5,22.0,14.1,14.5
28.662,31,102.0,1014.0,12.0,28.0,13.05,83.5,22.0,14.1,14.5
28.751,31,102.0,1014.0,12.0,28.0,13.05,83.5,22.0,14.1,14.5
28.871,31,102.0,1014.0,12.0,28.0,13.05,83.5,22.0,14.1,14.5
28.961,31,102.0,1014.0,12.0,28.0,13.05,83.5,22.0,27.5,14.5
29.051,31,102.0,1014.0,12.0,28.0,13.05,83.5,22.0,27.5,27.8
29.2,31,102.0,1014.0,12.0,28.0,13.05,83.5,22.0,27.5,27.8
29.38,31,104.0,1014.0,12.0,28.0,13.05,83.5,22.0,27.5,27.8
29.47,31,104.0,996.0,12.0,28.0,13.05,83.5,22.0,27.5,27.8
29.561,31,104.0,996.0,17.0,28.0,13.05,83.5,22.0,27.5,27.8
29.681,31,104.0,996.0,17.0,30.0,13.05,83.5,22.0,27.5,27.8
29.801,31,104.0,996.0,17.0,30.0,18.3,83.5,22.0,27.5,27.8
29.92,31,104.0,996.0,17.0,30.0,18.3,83.5,22.0,27.5,27.8
30.071,31,104.0,996.0,17.0,30.0,18.3,83.5,22.0,27.5,27.8
30.22,31,104.0,996.0,17.0,30.0,18.3,83.5,22.0,39.2,27.8
30.34,31,104.0,996.0,17.0,30.0,18.3,83.5,22.0,39.2,39.2
30.43,31,104.0,996.0,17.0,30.0,18.3,83.5,22.0,39.2,39.2
30.61,31,112.0,996.0,17.0,30.0,18.3,83.5,22.0,39.2,39.2
30.701,31,112.0,1321.0,17.0,30.0,18.3,83.5,22.0,39.2,39.2
30.821,31,112.0,1321.0,23.0,30.0,18.3,83.5,22.0,39.2,39.2
30.91,31,112.0,1321.0,23.0,31.0,18.3,83.5,22.0,39.2,39.2
31.001,31,112.0,1321.0,23.0,31.0,19.22,83.5,22.0,39.2,39.2
31.091,31,112.0,1321.0,23.0,31.0,19.22,83.5,22.0,39.2,39.2
31.211,31,112.0,1321.0,23.0,31.0,19.22,83.5,22.0,39.2,39.2
31.301,31,112.0,1321.0,23.0,31.0,19.22,83.5,22.0,34.1,39.2
31.421,31,112.0,1321.0,23.0,31.0,19.22,83.5,22.0,34.1,34.1
31.66,31,112.0,1321.0,23.0,31.0,19.22,83.5,22.0,34.1,34.1
31.779,31,112.0,1321.0,23.0,31.0,19.22,83.5,22.0,34.1,34.1
31.932,31,112.0,1465.0,23.0,31.0,19.22,83.5,22.0,34.1,34.1
32.261,31,112.0,1465.0,25.0,31.0,19.22,83.5,22.0,34.1,34.1
32.351,31,112.0,1465.0,25.0,31.0,19.22,83.5,22.0,34.1,34.1
32.471,31,112.0,1465.0,25.0,31.0,16.19,83.5,22.0,34.1,34.1
33.101,31,112.0,1465.0,25.0,31.0,16.19,83.5,22.0,34.1,34.1
33.402,31,112.0,1465.0,25.0,31.0,16.19,83.5,22.0,34.1,34.1
