timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
1.052,51,97.0,0.0,0.0,83.0,0.0,89.0,14.0,14.1,14.5
1.23,51,97.0,0.0,0.0,83.0,0.0,89.0,14.0,14.1,14.5
1.29,51,97.0,0.0,0.0,83.0,0.0,89.0,14.0,14.1,14.5
1.35,51,97.0,0.0,0.0,83.0,0.0,89.0,14.0,14.1,14.5
1.56,51,97.0,0.0,0.0,83.0,0.0,89.0,14.0,14.1,14.5
1.65,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
1.741,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
1.83,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
1.922,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
2.041,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
2.165,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
2.251,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
2.37,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
2.492,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
2.641,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
2.702,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
2.854,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
2.912,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
3.003,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
3.121,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
3.271,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
3.391,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
3.51,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
3.692,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
3.783,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
3.872,51,97.0,0.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
3.992,51,97.0,0.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
4.082,51,97.0,0.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
4.143,51,97.0,0.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
4.35,51,97.0,0.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
4.411,51,97.0,0.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
4.501,51,97.0,0.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
4.59,51,197.0,0.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
4.651,51,197.0,775.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
4.833,51,197.0,775.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
4.923,51,197.0,775.0,0.0,78.0,0.0,89.0,14.0,14.1,14.5
5.011,51,197.0,775.0,0.0,78.0,16.05,89.0,14.0,14.1,14.5
5.131,51,197.0,775.0,0.0,78.0,16.05,83.1,14.0,14.1,14.5
5.22,51,197.0,775.0,0.0,78.0,16.05,83.1,14.0,14.1,14.5
5.341,51,197.0,775.0,0.0,78.0,16.05,83.1,14.0,22.7,14.5
5.434,51,197.0,775.0,0.0,78.0,16.05,83.1,14.0,22.7,22.7
5.551,51,197.0,775.0,0.0,78.0,16.05,83.1,14.0,22.7,22.7
5.644,51,97.0,775.0,0.0,78.0,16.05,83.1,14.0,22.7,22.7
5.731,51,97.0,1173.0,0.0,78.0,16.05,83.1,14.0,22.7,22.7
5.822,51,97.0,1173.0,2.0,78.0,16.05,83.1,14.0,22.7,22.7
5.941,51,97.0,1173.0,2.0,55.0,16.05,83.1,14.0,22.7,22.7
6.063,51,97.0,1173.0,2.0,55.0,17.52,83.1,14.0,22.7,22.7
6.153,51,97.0,1173.0,2.0,55.0,17.52,83.1,14.0,22.7,22.7
6.27,51,97.0,1173.0,2.0,55.0,17.52,83.1,14.0,22.7,22.7
6.361,51,97.0,1173.0,2.0,55.0,17.52,83.1,14.0,26.3,22.7
6.451,51,97.0,1173.0,2.0,55.0,17.52,83.1,14.0,26.3,27.1
6.601,51,97.0,1173.0,2.0,55.0,17.52,83.1,14.0,26.3,27.1
6.751,51,107.0,1173.0,2.0,55.0,17.52,83.1,14.0,26.3,27.1
6.872,51,107.0,1473.0,2.0,55.0,17.52,83.1,14.0,26.3,27.1
6.962,51,107.0,1473.0,13.0,55.0,17.52,83.1,14.0,26.3,27.1
7.08,51,107.0,1473.0,13.0,26.0,17.52,83.1,14.0,26.3,27.1
