timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
0.81,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
0.9,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
0.991,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
1.08,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
1.171,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
1.26,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
1.35,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
1.44,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
1.531,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
1.621,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
1.728,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
1.8,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
1.89,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
1.98,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
2.07,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
2.16,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
2.251,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
2.34,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
2.43,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
2.52,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
2.61,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
2.7,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
2.82,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
2.91,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
3.0,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
3.09,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
3.18,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
3.275,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
3.37,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
3.449,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
3.539,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
3.63,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
3.72,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
3.81,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
3.9,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
3.991,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
4.081,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
4.17,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
4.259,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
4.349,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
4.439,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
4.529,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
4.62,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
4.71,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
4.8,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
4.89,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
4.98,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
