timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
0.81,11,96.0,0.0,0.0,4.0,0.86,89.0,6.0,14.1,14.5
0.9,11,96.0,0.0,0.0,4.0,0.86,89.0,6.0,14.1,14.5
0.99,11,96.0,0.0,0.0,4.0,0.86,89.0,6.0,14.1,14.5
1.08,11,96.0,0.0,0.0,4.0,0.86,89.0,6.0,14.1,14.5
1.17,11,96.0,0.0,0.0,4.0,0.86,89.0,6.0,14.1,14.5
1.26,11,96.0,0.0,0.0,4.0,0.86,89.0,6.0,14.1,14.5
1.351,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
1.44,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
1.531,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
1.62,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
1.71,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
1.8,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
1.89,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
1.98,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
2.07,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
2.221,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
2.31,11,96.0,0.0,0.0,4.0,1.72,89.0,6.0,14.1,14.5
2.43,11,96.0,0.0,0.0,4.0,1.72,89.0,6.0,14.1,14.5
2.52,11,96.0,0.0,0.0,4.0,1.72,89.0,6.0,14.1,14.5
2.61,11,96.0,0.0,0.0,4.0,1.72,89.0,6.0,14.5,14.5
2.7,11,96.0,0.0,0.0,4.0,1.72,89.0,6.0,14.5,14.5
2.791,11,96.0,0.0,0.0,4.0,1.72,89.0,6.0,14.5,14.5
2.881,11,94.0,0.0,0.0,4.0,1.72,89.0,6.0,14.5,14.5
2.971,11,94.0,1068.0,0.0,4.0,1.72,89.0,6.0,14.5,14.5
3.06,11,94.0,1068.0,0.0,4.0,1.72,89.0,6.0,14.5,14.5
3.15,11,94.0,1068.0,0.0,8.0,1.72,89.0,6.0,14.5,14.5
3.24,11,94.0,1068.0,0.0,8.0,17.86,89.0,6.0,14.5,14.5
3.33,11,94.0,1068.0,0.0,8.0,17.86,83.1,6.0,14.5,14.5
3.42,11,94.0,1068.0,0.0,8.0,17.86,83.1,6.0,14.5,14.5
3.51,11,94.0,1068.0,0.0,8.0,17.86,83.1,6.0,14.1,14.5
3.6,11,94.0,1068.0,0.0,8.0,17.86,83.1,6.0,14.1,14.5
3.69,11,94.0,1068.0,0.0,8.0,17.86,83.1,6.0,14.1,14.5
3.78,11,95.0,1068.0,0.0,8.0,17.86,83.1,6.0,14.1,14.5
3.87,11,95.0,994.0,0.0,8.0,17.86,83.1,6.0,14.1,14.5
3.96,11,95.0,994.0,0.0,8.0,17.86,83.1,6.0,14.1,14.5
4.051,11,95.0,994.0,0.0,21.0,17.86,83.1,6.0,14.1,14.5
4.14,11,95.0,994.0,0.0,21.0,16.86,83.1,6.0,14.1,14.5
4.23,11,95.0,994.0,0.0,21.0,16.86,83.1,6.0,14.1,14.5
4.32,11,95.0,994.0,0.0,21.0,16.86,83.1,6.0,14.1,14.5
4.41,11,95.0,994.0,0.0,21.0,16.86,83.1,6.0,14.5,14.5
4.5,11,95.0,994.0,0.0,21.0,16.86,83.1,6.0,14.5,14.1
4.59,11,95.0,994.0,0.0,21.0,16.86,83.1,6.0,14.5,14.1
4.68,11,95.0,994.0,0.0,21.0,16.86,83.1,6.0,14.5,14.1
4.77,11,95.0,949.0,0.0,21.0,16.86,83.1,6.0,14.5,14.1
4.86,11,95.0,949.0,0.0,21.0,16.86,83.1,6.0,14.5,14.1
4.95,11,95.0,949.0,0.0,20.0,16.86,83.1,6.0,14.5,14.1
5.04,11,95.0,949.0,0.0,20.0,15.61,83.1,6.0,14.5,14.1
5.13,11,95.0,949.0,0.0,20.0,15.61,83.1,6.0,14.5,14.1
5.22,11,95.0,949.0,0.0,20.0,15.61,83.1,6.0,14.5,14.1
5.311,11,95.0,949.0,0.0,20.0,15.61,83.1,6.0,14.5,14.1
5.401,11,95.0,949.0,0.0,20.0,15.61,83.1,6.0,14.5,14.5
5.49,11,95.0,949.0,0.0,20.0,15.61,83.1,6.0,14.5,14.5
5.58,11,95.0,949.0,0.0,20.0,15.61,83.1,6.0,14.5,14.5
5.67,11,95.0,908.0,0.0,20.0,15.61,83.1,6.0,14.5,14.5
5.761,11,95.0,908.0,1.0,20.0,15.61,83.1,6.0,14.5,14.5
5.85,11,95.0,908.0,1.0,19.0,15.61,83.1,6.0,14.5,14.5
5.94,11,95.0,908.0,1.0,19.0,15.44,83.1,6.0,14.5,14.5
6.031,11,95.0,908.0,1.0,19.0,15.44,83.1,6.0,14.5,14.5
6.12,11,95.0,908.0,1.0,19.0,15.44,83.1,6.0,14.5,14.5
6.21,11,95.0,908.0,1.0,19.0,15.44,83.1,6.0,14.5,14.5
6.3,11,95.0,908.0,1.0,19.0,15.44,83.1,6.0,14.5,14.5
6.39,11,95.0,908.0,1.0,19.0,15.44,83.1,6.0,14.5,14.5
6.481,11,95.0,908.0,1.0,19.0,15.44,83.1,6.0,14.5,14.5
6.57,11,95.0,905.0,1.0,19.0,15.44,83.1,6.0,14.5,14.5
6.66,11,95.0,905.0,2.0,19.0,15.44,83.1,6.0,14.5,14.5
6.75,11,95.0,905.0,2.0,18.0,15.44,83.1,6.0,14.5,14.5
6.84,11,95.0,905.0,2.0,18.0,15.52,83.1,6.0,14.5,14.5
6.931,11,95.0,905.0,2.0,18.0,15.52,83.1,6.0,14.5,14.5
7.05,11,95.0,905.0,2.0,18.0,15.52,83.1,6.0,14.5,14.5
7.141,11,95.0,905.0,2.0,18.0,15.52,83.1,6.0,14.1,14.5
7.231,11,95.0,905.0,2.0,18.0,15.52,83.1,6.0,14.1,14.5
7.321,11,95.0,905.0,2.0,18.0,15.52,83.1,6.0,14.1,14.5
7.41,11,95.0,905.0,2.0,18.0,15.52,83.1,6.0,14.1,14.5
7.5,11,95.0,1020.0,2.0,18.0,15.52,83.1,6.0,14.1,14.5
7.591,11,95.0,1020.0,3.0,18.0,15.52,83.1,6.0,14.1,14.5
7.68,11,95.0,1020.0,3.0,17.0,15.52,83.1,6.0,14.1,14.5
7.77,11,95.0,1020.0,3.0,17.0,17.19,83.1,6.0,14.1,14.5
