timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
0.811,74,98.0,772.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
0.901,73,98.0,772.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
0.99,73,98.0,772.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
1.08,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
1.169,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
1.26,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
1.35,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
1.44,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
1.53,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
1.62,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
1.711,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
1.801,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
1.89,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
1.98,73,98.0,772.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
2.07,73,98.0,772.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
2.161,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
2.251,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
2.341,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
2.431,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
2.522,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
2.611,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
2.701,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
2.791,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
2.881,73,98.0,771.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
2.972,73,98.0,771.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
3.061,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
3.15,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
3.24,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
3.331,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
3.421,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.5,14.5
3.51,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.5,14.5
3.6,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.5,14.5
3.69,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.5,14.5
3.78,73,98.0,953.0,0.0,30.0,6.47,83.1,1.0,14.5,14.5
3.873,73,98.0,953.0,0.0,30.0,6.47,83.1,1.0,14.5,14.5
3.96,73,98.0,953.0,0.0,29.0,6.47,83.1,1.0,14.5,14.5
4.051,73,98.0,953.0,0.0,29.0,8.13,83.1,1.0,14.5,14.5
4.142,73,98.0,953.0,0.0,29.0,8.13,83.1,1.0,14.5,14.5
4.231,73,98.0,953.0,0.0,29.0,8.13,83.1,1.0,14.5,14.5
4.325,73,98.0,953.0,0.0,29.0,8.13,83.1,1.0,14.9,14.5
4.44,73,98.0,953.0,0.0,29.0,8.13,83.1,1.0,14.9,14.5
4.53,73,98.0,953.0,0.0,29.0,8.13,83.1,1.0,14.9,14.5
4.62,73,100.0,953.0,0.0,29.0,8.13,83.1,1.0,14.9,14.5
4.711,73,100.0,942.0,0.0,29.0,8.13,83.1,1.0,14.9,14.5
4.801,73,100.0,942.0,0.0,29.0,8.13,83.1,1.0,14.9,14.5
4.891,73,100.0,942.0,0.0,31.0,8.13,83.1,1.0,14.9,14.5
4.981,73,100.0,942.0,0.0,31.0,7.74,83.1,1.0,14.9,14.5
5.07,73,100.0,942.0,0.0,31.0,7.74,83.1,1.0,14.9,14.5
