timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
0.69,89,98.0,770.0,0.0,-13.0,6.77,83.1,-1.0,14.1,14.5
0.779,89,98.0,770.0,0.0,-13.0,6.77,83.1,-1.0,14.1,14.5
0.84,89,98.0,770.0,0.0,-13.0,6.77,83.1,-1.0,14.1,14.5
0.929,89,98.0,769.0,0.0,-13.0,6.77,83.1,-1.0,14.1,14.5
0.99,89,98.0,769.0,0.0,-13.0,6.77,83.1,-1.0,14.1,14.5
1.079,89,98.0,769.0,0.0,-13.0,6.77,83.1,-1.0,14.1,14.5
1.14,89,98.0,769.0,0.0,-13.0,6.61,83.1,-1.0,14.1,14.5
1.229,89,98.0,769.0,0.0,-13.0,6.61,83.5,-1.0,14.1,14.5
1.319,89,98.0,769.0,0.0,-13.0,6.61,83.5,-1.0,14.1,14.5
1.409,89,98.0,769.0,0.0,-13.0,6.61,83.5,-1.0,14.1,14.5
1.498,89,98.0,769.0,0.0,-13.0,6.61,83.5,-1.0,14.1,14.5
1.588,89,98.0,769.0,0.0,-13.0,6.61,83.5,-1.0,14.1,14.5
1.678,89,98.0,769.0,0.0,-13.0,6.61,83.5,-1.0,14.1,14.5
1.768,89,98.0,771.0,0.0,-13.0,6.61,83.5,-1.0,14.1,14.5
1.829,89,98.0,771.0,0.0,-13.0,6.61,83.5,-1.0,14.1,14.5
1.889,89,98.0,771.0,0.0,-12.0,6.61,83.5,-1.0,14.1,14.5
1.979,89,98.0,771.0,0.0,-12.0,6.55,83.5,-1.0,14.1,14.5
2.041,89,98.0,771.0,0.0,-12.0,6.55,83.5,-1.0,14.1,14.5
2.128,89,98.0,771.0,0.0,-12.0,6.55,83.5,-1.0,14.1,14.5
2.189,89,98.0,771.0,0.0,-12.0,6.55,83.5,-1.0,14.1,14.5
2.278,89,98.0,771.0,0.0,-12.0,6.55,83.5,-1.0,14.1,14.5
2.349,89,98.0,771.0,0.0,-12.0,6.55,83.5,-1.0,14.1,14.5
2.428,89,98.0,771.0,0.0,-12.0,6.55,83.5,-1.0,14.1,14.5
2.518,89,98.0,772.0,0.0,-12.0,6.55,83.5,-1.0,14.1,14.5
2.727,89,98.0,772.0,0.0,-12.0,6.55,83.5,-1.0,14.1,14.5
2.796,89,98.0,772.0,0.0,-11.0,6.55,83.5,-1.0,14.1,14.5
2.877,89,98.0,772.0,0.0,-11.0,6.58,83.5,-1.0,14.1,14.5
2.938,89,98.0,772.0,0.0,-11.0,6.58,83.5,-1.0,14.1,14.5
3.027,89,98.0,772.0,0.0,-11.0,6.58,83.5,-1.0,14.1,14.5
3.089,89,98.0,772.0,0.0,-11.0,6.58,83.5,-1.0,14.1,14.5
3.177,89,98.0,772.0,0.0,-11.0,6.58,83.5,-1.0,14.1,14.5
3.267,89,98.0,772.0,0.0,-11.0,6.58,83.5,-1.0,14.1,14.5
3.357,89,98.0,772.0,0.0,-11.0,6.58,83.5,-1.0,14.1,14.5
3.448,89,98.0,771.0,0.0,-11.0,6.58,83.5,-1.0,14.1,14.5
