timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
21.239,87,97.0,769.0,0.0,16.0,6.61,83.1,1.0,14.1,14.5
21.329,87,97.0,769.0,0.0,16.0,6.61,83.1,1.0,14.1,14.5
21.42,87,97.0,769.0,0.0,16.0,6.61,83.1,1.0,14.1,14.5
21.511,87,97.0,769.0,0.0,16.0,6.61,83.1,1.0,14.1,14.5
21.6,87,97.0,770.0,0.0,16.0,6.61,83.1,1.0,14.1,14.5
21.689,87,97.0,770.0,0.0,16.0,6.61,83.1,1.0,14.1,14.5
21.791,87,97.0,770.0,0.0,16.0,6.61,83.1,1.0,14.1,14.5
21.869,87,97.0,770.0,0.0,16.0,6.69,83.1,1.0,14.1,14.5
21.96,87,97.0,770.0,0.0,16.0,6.69,83.1,1.0,14.1,14.5
22.05,87,97.0,770.0,0.0,16.0,6.69,83.1,1.0,14.1,14.5
22.139,87,97.0,770.0,0.0,16.0,6.69,83.1,1.0,14.1,14.5
22.229,87,97.0,770.0,0.0,16.0,6.69,83.1,1.0,14.1,14.5
22.319,87,97.0,770.0,0.0,16.0,6.69,83.1,1.0,14.1,14.5
22.409,87,97.0,770.0,0.0,16.0,6.69,83.1,1.0,14.1,14.5
22.5,87,97.0,771.0,0.0,16.0,6.69,83.1,1.0,14.1,14.5
22.589,87,97.0,771.0,0.0,16.0,6.69,83.1,1.0,14.1,14.5
22.71,87,97.0,771.0,0.0,17.0,6.69,83.1,1.0,14.1,14.5
22.799,87,97.0,771.0,0.0,17.0,6.72,83.1,1.0,14.1,14.5
22.889,87,97.0,771.0,0.0,17.0,6.72,83.1,1.0,14.1,14.5
22.98,87,97.0,771.0,0.0,17.0,6.72,83.1,1.0,14.1,14.5
23.069,87,97.0,771.0,0.0,17.0,6.72,83.1,1.0,14.1,14.5
23.159,87,97.0,771.0,0.0,17.0,6.72,83.1,1.0,14.1,14.5
23.25,87,97.0,771.0,0.0,17.0,6.72,83.1,1.0,14.1,14.5
23.34,87,97.0,771.0,0.0,17.0,6.72,83.1,1.0,14.1,14.5
23.43,87,97.0,768.0,0.0,17.0,6.72,83.1,1.0,14.1,14.5
23.52,87,97.0,768.0,0.0,17.0,6.72,83.1,1.0,14.1,14.5
23.61,87,97.0,768.0,0.0,17.0,6.72,83.1,1.0,14.1,14.5
23.7,87,97.0,768.0,0.0,17.0,6.61,83.1,1.0,14.1,14.5
23.791,87,97.0,768.0,0.0,17.0,6.61,83.1,1.0,14.1,14.5
23.881,87,97.0,768.0,0.0,17.0,6.61,83.1,1.0,14.1,14.5
23.971,87,97.0,768.0,0.0,17.0,6.61,83.1,1.0,14.1,14.5
24.061,87,97.0,768.0,0.0,17.0,6.61,83.1,1.0,14.1,14.5
24.15,87,97.0,768.0,0.0,17.0,6.61,83.1,1.0,14.1,14.5
24.241,87,97.0,768.0,0.0,17.0,6.61,83.1,1.0,14.1,14.5
24.33,87,97.0,770.0,0.0,17.0,6.61,83.1,1.0,14.1,14.5
24.42,87,97.0,770.0,0.0,17.0,6.61,83.1,1.0,14.1,14.5
24.51,87,97.0,770.0,0.0,17.0,6.61,83.1,1.0,14.1,14.5
24.6,87,97.0,770.0,0.0,17.0,6.63,83.1,1.0,14.1,14.5
24.691,87,97.0,770.0,0.0,17.0,6.63,83.1,1.0,14.1,14.5
24.781,87,97.0,770.0,0.0,17.0,6.63,83.1,1.0,14.1,14.5
24.87,87,97.0,770.0,0.0,17.0,6.63,83.1,1.0,14.1,14.5
24.96,87,97.0,770.0,0.0,17.0,6.63,83.1,1.0,14.1,14.5
25.052,87,97.0,770.0,0.0,17.0,6.63,83.1,1.0,14.1,14.5
25.14,87,97.0,770.0,0.0,17.0,6.63,83.1,1.0,14.1,14.5
25.23,87,97.0,769.0,0.0,17.0,6.63,83.1,1.0,14.1,14.5
25.321,87,97.0,769.0,0.0,17.0,6.63,83.1,1.0,14.1,14.5
25.409,87,97.0,769.0,0.0,17.0,6.63,83.1,1.0,14.1,14.5
25.5,87,97.0,769.0,0.0,17.0,6.83,83.1,1.0,14.1,14.5
25.59,87,97.0,769.0,0.0,17.0,6.83,83.1,1.0,14.1,14.5
