timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
0.75,11,102.0,1041.0,0.0,10.0,19.13,83.1,2.0,14.1,14.5
0.84,11,102.0,1041.0,0.0,10.0,19.13,83.1,2.0,14.1,14.5
0.93,11,102.0,1041.0,0.0,10.0,19.13,83.1,2.0,14.1,14.5
1.02,11,102.0,1042.0,0.0,10.0,19.13,83.1,2.0,14.1,14.5
1.081,11,102.0,1042.0,0.0,10.0,19.13,83.1,2.0,14.1,14.5
1.17,11,102.0,1042.0,0.0,9.0,19.13,83.1,2.0,14.1,14.5
1.231,11,102.0,1042.0,0.0,9.0,19.08,83.1,2.0,14.1,14.5
1.32,11,102.0,1042.0,0.0,9.0,19.08,83.1,2.0,14.1,14.5
1.381,11,102.0,1042.0,0.0,9.0,19.08,83.1,2.0,14.1,14.5
1.47,11,102.0,1042.0,0.0,9.0,19.08,83.1,2.0,14.1,14.5
1.531,11,102.0,1042.0,0.0,9.0,19.08,83.1,2.0,14.1,14.1
1.62,11,102.0,1042.0,0.0,9.0,19.08,83.1,2.0,14.1,14.1
1.681,11,102.0,1042.0,0.0,9.0,19.08,83.1,2.0,14.1,14.1
1.77,11,102.0,1026.0,0.0,9.0,19.08,83.1,2.0,14.1,14.1
1.86,11,102.0,1026.0,0.0,9.0,19.08,83.1,2.0,14.1,14.1
1.95,11,102.0,1026.0,0.0,9.0,19.08,83.1,2.0,14.1,14.1
2.042,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.1
2.13,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.1
2.22,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.1
2.281,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.1
2.37,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.5
2.431,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.5
2.52,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.5
2.581,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.5
2.7,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.5
2.792,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.5
2.88,11,102.0,1026.0,0.0,9.0,18.52,83.1,2.0,14.1,14.5
2.97,11,102.0,1026.0,0.0,9.0,18.52,83.1,2.0,14.1,14.5
3.06,11,102.0,1026.0,0.0,9.0,18.52,83.1,2.0,14.1,14.5
3.121,11,102.0,1026.0,0.0,9.0,18.52,83.1,2.0,14.5,14.5
3.181,11,102.0,1026.0,0.0,9.0,18.52,83.1,2.0,14.5,14.5
3.27,11,102.0,1026.0,0.0,9.0,18.52,83.1,2.0,14.5,14.5
3.331,11,102.0,1026.0,0.0,9.0,18.52,83.1,2.0,14.5,14.5
3.42,11,102.0,1032.0,0.0,9.0,18.52,83.1,2.0,14.5,14.5
3.481,11,102.0,1032.0,0.0,9.0,18.52,83.1,2.0,14.5,14.5
3.57,11,102.0,1032.0,0.0,9.0,18.52,83.1,2.0,14.5,14.5
3.631,11,102.0,1032.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
3.72,11,102.0,1032.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
3.78,11,102.0,1032.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
3.87,11,102.0,1032.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
3.931,11,102.0,1032.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
4.05,11,102.0,1032.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
4.14,11,103.0,1032.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
4.23,11,103.0,1011.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
4.321,11,103.0,1011.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
4.38,11,103.0,1011.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
4.471,11,103.0,1011.0,0.0,9.0,17.99,83.1,2.0,14.5,14.5
