timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
0.809,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
0.9,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
0.99,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
1.079,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
1.17,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
1.26,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
1.322,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
1.41,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
1.53,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
1.62,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.1,14.5
1.71,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.1,14.5
1.802,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.1,14.5
1.89,4,106.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.1,14.5
1.98,4,106.0,272.0,0.0,-3.0,0.86,89.0,1.0,14.1,14.5
2.07,4,106.0,272.0,0.0,-3.0,0.86,89.0,1.0,14.1,14.5
2.16,4,106.0,272.0,0.0,0.0,0.86,89.0,1.0,14.1,14.5
2.25,4,106.0,272.0,0.0,0.0,19.08,89.0,1.0,14.1,14.5
2.34,4,106.0,272.0,0.0,0.0,19.08,83.1,1.0,14.1,14.5
2.43,4,106.0,272.0,0.0,0.0,19.08,83.1,1.0,14.1,14.5
2.52,4,106.0,272.0,0.0,0.0,19.08,83.1,1.0,14.1,14.5
2.61,4,106.0,272.0,0.0,0.0,19.08,83.1,1.0,14.1,14.5
2.7,4,106.0,272.0,0.0,0.0,19.08,83.1,1.0,14.1,14.5
2.791,4,94.0,272.0,0.0,0.0,19.08,83.1,1.0,14.1,14.5
2.881,4,94.0,1040.0,0.0,0.0,19.08,83.1,1.0,14.1,14.5
2.971,4,94.0,1040.0,0.0,0.0,19.08,83.1,1.0,14.1,14.5
3.06,4,94.0,1040.0,0.0,14.0,19.08,83.1,1.0,14.1,14.5
3.15,4,94.0,1040.0,0.0,14.0,17.97,83.1,1.0,14.1,14.5
3.24,4,94.0,1040.0,0.0,14.0,17.97,83.1,1.0,14.1,14.5
3.33,4,94.0,1040.0,0.0,14.0,17.97,83.1,1.0,14.1,14.5
3.423,4,94.0,1040.0,0.0,14.0,17.97,83.1,1.0,14.1,14.5
3.51,4,94.0,1040.0,0.0,14.0,17.97,83.1,1.0,14.1,14.5
3.6,4,94.0,1040.0,0.0,14.0,17.97,83.1,1.0,14.1,14.5
3.69,4,95.0,1040.0,0.0,14.0,17.97,83.1,1.0,14.1,14.5
3.78,4,95.0,1002.0,0.0,14.0,17.97,83.1,1.0,14.1,14.5
3.871,4,95.0,1002.0,0.0,14.0,17.97,83.1,1.0,14.1,14.5
3.96,4,95.0,1002.0,0.0,14.0,17.97,83.1,1.0,14.1,14.5
4.05,4,95.0,1002.0,0.0,14.0,17.66,83.1,1.0,14.1,14.5
4.14,4,95.0,1002.0,0.0,14.0,17.66,83.1,1.0,14.1,14.5
4.23,4,95.0,1002.0,0.0,14.0,17.66,83.1,1.0,14.1,14.5
4.324,4,95.0,1002.0,0.0,14.0,17.66,83.1,1.0,14.1,14.5
4.41,4,95.0,1002.0,0.0,14.0,17.66,83.1,1.0,14.1,14.5
4.473,4,95.0,1002.0,0.0,14.0,17.66,83.1,1.0,14.1,14.5
4.56,4,95.0,1002.0,0.0,14.0,17.66,83.1,1.0,14.1,14.5
4.65,4,95.0,1001.0,0.0,14.0,17.66,83.1,1.0,14.1,14.5
4.74,4,95.0,1001.0,0.0,14.0,17.66,83.1,1.0,14.1,14.5
4.83,4,95.0,1001.0,0.0,13.0,17.66,83.1,1.0,14.1,14.5
4.921,4,95.0,1001.0,0.0,13.0,17.11,83.1,1.0,14.1,14.5
5.01,4,95.0,1001.0,0.0,13.0,17.11,83.1,1.0,14.1,14.5
5.1,4,95.0,1001.0,0.0,13.0,17.11,83.1,1.0,14.1,14.5
5.191,4,95.0,1001.0,0.0,13.0,17.11,83.1,1.0,14.1,14.5
5.28,4,95.0,1001.0,0.0,13.0,17.11,83.1,1.0,14.1,14.5
5.37,4,95.0,1001.0,0.0,13.0,17.11,83.1,1.0,14.1,14.5
5.46,4,95.0,1001.0,0.0,13.0,17.11,83.1,1.0,14.1,14.5
5.55,4,95.0,994.0,0.0,13.0,17.11,83.1,1.0,14.1,14.5
5.64,4,95.0,994.0,0.0,13.0,17.11,83.1,1.0,14.1,14.5
5.73,4,95.0,994.0,0.0,13.0,17.11,83.1,1.0,14.1,14.5
5.821,4,95.0,994.0,0.0,13.0,17.16,83.1,1.0,14.1,14.5
5.91,4,95.0,994.0,0.0,13.0,17.16,83.1,1.0,14.1,14.5
6.0,4,95.0,994.0,0.0,13.0,17.16,83.1,1.0,14.1,14.5
6.09,4,95.0,994.0,0.0,13.0,17.16,83.1,1.0,14.5,14.5
6.18,4,95.0,994.0,0.0,13.0,17.16,83.1,1.0,14.5,14.5
6.272,4,95.0,994.0,0.0,13.0,17.16,83.1,1.0,14.5,14.5
6.36,4,95.0,994.0,0.0,13.0,17.16,83.1,1.0,14.5,14.5
6.421,4,95.0,975.0,0.0,13.0,17.16,83.1,1.0,14.5,14.5
6.51,4,95.0,975.0,0.0,13.0,17.16,83.1,1.0,14.5,14.5
6.6,4,95.0,975.0,0.0,12.0,17.16,83.1,1.0,14.5,14.5
6.72,4,95.0,975.0,0.0,12.0,16.86,83.1,1.0,14.5,14.5
6.81,4,95.0,975.0,0.0,12.0,16.86,83.5,1.0,14.5,14.5
6.871,4,95.0,975.0,0.0,12.0,16.86,83.5,1.0,14.5,14.5
6.96,4,95.0,975.0,0.0,12.0,16.86,83.5,1.0,14.5,14.5
7.05,4,95.0,975.0,0.0,12.0,16.86,83.5,1.0,14.5,14.5
7.14,4,95.0,975.0,0.0,12.0,16.86,83.5,1.0,14.5,14.5
7.23,4,95.0,975.0,0.0,12.0,16.86,83.5,1.0,14.5,14.5
7.32,4,95.0,952.0,0.0,12.0,16.86,83.5,1.0,14.5,14.5
7.41,4,95.0,952.0,0.0,12.0,16.86,83.5,1.0,14.5,14.5
7.5,4,95.0,952.0,0.0,11.0,16.86,83.5,1.0,14.5,14.5
7.59,4,95.0,952.0,0.0,11.0,16.63,83.5,1.0,14.5,14.5
7.68,4,95.0,952.0,0.0,11.0,16.63,83.5,1.0,14.5,14.5
7.77,4,95.0,952.0,0.0,11.0,16.63,83.5,1.0,14.5,14.5
7.86,4,95.0,952.0,0.0,11.0,16.63,83.5,1.0,14.1,14.5
7.95,4,95.0,952.0,0.0,11.0,16.63,83.5,1.0,14.1,14.5
8.039,4,95.0,952.0,0.0,11.0,16.63,83.5,1.0,14.1,14.5
8.13,4,96.0,952.0,0.0,11.0,16.63,83.5,1.0,14.1,14.5
8.22,4,96.0,974.0,0.0,11.0,16.63,83.5,1.0,14.1,14.5
8.31,4,96.0,974.0,1.0,11.0,16.63,83.5,1.0,14.1,14.5
8.37,4,96.0,974.0,1.0,11.0,16.63,83.5,1.0,14.1,14.5
8.46,4,96.0,974.0,1.0,11.0,17.55,83.5,1.0,14.1,14.5
8.521,4,96.0,974.0,1.0,11.0,17.55,83.5,1.0,14.1,14.5
8.61,4,96.0,974.0,1.0,11.0,17.55,83.5,1.0,14.1,14.5
8.701,4,96.0,974.0,1.0,11.0,17.55,83.5,1.0,14.1,14.5
8.79,4,96.0,974.0,1.0,11.0,17.55,83.5,1.0,14.1,14.5
8.881,4,96.0,974.0,1.0,11.0,17.55,83.5,1.0,14.1,14.5
8.97,4,96.0,974.0,1.0,11.0,17.55,83.5,1.0,14.1,14.5
9.06,4,96.0,993.0,1.0,11.0,17.55,83.5,1.0,14.1,14.5
9.151,4,96.0,993.0,1.0,11.0,17.55,83.5,1.0,14.1,14.5
9.24,4,96.0,993.0,1.0,10.0,17.55,83.5,1.0,14.1,14.5
9.33,4,96.0,993.0,1.0,10.0,17.27,83.5,1.0,14.1,14.5
9.42,4,96.0,993.0,1.0,10.0,17.27,83.5,1.0,14.1,14.5
9.51,4,96.0,993.0,1.0,10.0,17.27,83.5,1.0,14.1,14.5
9.574,4,96.0,993.0,1.0,10.0,17.27,83.5,1.0,14.1,14.5
9.66,4,96.0,993.0,1.0,10.0,17.27,83.5,1.0,14.1,14.5
9.722,4,96.0,993.0,1.0,10.0,17.27,83.5,1.0,14.1,14.5
9.811,4,97.0,993.0,1.0,10.0,17.27,83.5,1.0,14.1,14.5
9.9,4,97.0,978.0,1.0,10.0,17.27,83.5,1.0,14.1,14.5
9.989,4,97.0,978.0,2.0,10.0,17.27,83.5,1.0,14.1,14.5
10.08,4,97.0,978.0,2.0,10.0,17.27,83.5,1.0,14.1,14.5
10.17,4,97.0,978.0,2.0,10.0,17.13,83.5,1.0,14.1,14.5
10.26,4,97.0,978.0,2.0,10.0,17.13,83.5,1.0,14.1,14.5
10.321,4,97.0,978.0,2.0,10.0,17.13,83.5,1.0,14.1,14.5
10.41,4,97.0,978.0,2.0,10.0,17.13,83.5,1.0,14.1,14.5
10.47,4,97.0,978.0,2.0,10.0,17.13,83.5,1.0,14.1,14.5
10.56,4,97.0,978.0,2.0,10.0,17.13,83.5,1.0,14.1,14.5
10.65,4,97.0,978.0,2.0,10.0,17.13,83.5,1.0,14.1,14.5
10.739,4,97.0,978.0,2.0,10.0,17.13,83.5,1.0,14.1,14.5
10.83,4,97.0,978.0,3.0,10.0,17.13,83.5,1.0,14.1,14.5
10.92,4,97.0,978.0,3.0,9.0,17.13,83.5,1.0,14.1,14.5
11.011,4,97.0,978.0,3.0,9.0,18.08,83.5,1.0,14.1,14.5
11.1,4,97.0,978.0,3.0,9.0,18.08,83.5,1.0,14.1,14.5
11.19,4,97.0,978.0,3.0,9.0,18.08,83.5,1.0,14.1,14.5
11.28,4,97.0,978.0,3.0,9.0,18.08,83.5,1.0,14.1,14.5
11.37,4,97.0,978.0,3.0,9.0,18.08,83.5,1.0,14.1,14.5
11.46,4,97.0,978.0,3.0,9.0,18.08,83.5,1.0,14.1,14.5
11.55,4,98.0,978.0,3.0,9.0,18.08,83.5,1.0,14.1,14.5
11.64,4,98.0,1031.0,3.0,9.0,18.08,83.5,1.0,14.1,14.5
11.73,4,98.0,1031.0,3.0,9.0,18.08,83.5,1.0,14.1,14.5
11.842,4,98.0,1031.0,3.0,9.0,18.08,83.5,1.0,14.1,14.5
11.91,4,98.0,1031.0,3.0,9.0,18.22,83.5,1.0,14.1,14.5
11.97,4,98.0,1031.0,3.0,9.0,18.22,83.5,1.0,14.1,14.5
12.06,4,98.0,1031.0,3.0,9.0,18.22,83.5,1.0,14.1,14.5
12.12,4,98.0,1031.0,3.0,9.0,18.22,83.5,1.0,14.1,14.5
12.21,4,98.0,1031.0,3.0,9.0,18.22,83.5,1.0,14.1,14.5
12.27,4,98.0,1031.0,3.0,9.0,18.22,83.5,1.0,14.1,14.5
12.36,4,98.0,1031.0,3.0,9.0,18.22,83.5,1.0,14.1,14.5
