timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
0.841,15,93.0,924.0,0.0,20.0,15.27,83.1,6.0,14.1,14.5
0.932,15,93.0,924.0,0.0,20.0,15.27,83.1,6.0,14.1,14.5
1.022,15,94.0,924.0,0.0,20.0,15.27,83.1,6.0,14.1,14.5
1.141,15,94.0,927.0,0.0,20.0,15.27,83.1,6.0,14.1,14.5
1.231,15,94.0,927.0,0.0,20.0,15.27,83.1,6.0,14.1,14.5
1.321,15,94.0,927.0,0.0,20.0,15.27,83.1,6.0,14.1,14.5
1.411,15,94.0,927.0,0.0,20.0,15.3,83.1,6.0,14.1,14.5
1.502,15,94.0,927.0,0.0,20.0,15.3,83.1,6.0,14.1,14.5
1.591,15,94.0,927.0,0.0,20.0,15.3,83.1,6.0,14.1,14.5
1.681,15,94.0,927.0,0.0,20.0,15.3,83.1,6.0,14.1,14.5
1.772,15,94.0,927.0,0.0,20.0,15.3,83.1,6.0,14.1,14.5
1.861,15,94.0,927.0,0.0,20.0,15.3,83.1,6.0,14.1,14.5
1.923,15,94.0,927.0,0.0,20.0,15.3,83.1,6.0,14.1,14.5
2.012,15,94.0,927.0,0.0,20.0,15.3,83.1,6.0,14.1,14.5
2.102,15,94.0,927.0,0.0,20.0,15.3,83.1,6.0,14.1,14.5
2.192,15,94.0,927.0,0.0,19.0,15.3,83.1,6.0,14.1,14.5
2.281,15,94.0,927.0,0.0,19.0,15.19,83.1,6.0,14.1,14.5
2.371,15,94.0,927.0,0.0,19.0,15.19,83.1,6.0,14.1,14.5
2.461,15,94.0,927.0,0.0,19.0,15.19,83.1,6.0,14.1,14.5
2.522,15,94.0,927.0,0.0,19.0,15.19,83.1,6.0,14.1,14.5
2.612,15,94.0,927.0,0.0,19.0,15.19,83.1,6.0,14.1,14.5
2.672,15,94.0,927.0,0.0,19.0,15.19,83.1,6.0,14.1,14.5
2.762,15,94.0,927.0,0.0,19.0,15.19,83.1,6.0,14.1,14.5
2.822,15,94.0,928.0,0.0,19.0,15.19,83.1,6.0,14.1,14.5
2.912,15,94.0,928.0,0.0,19.0,15.19,83.1,6.0,14.1,14.5
3.001,15,94.0,928.0,0.0,18.0,15.19,83.1,6.0,14.1,14.5
3.091,15,94.0,928.0,0.0,18.0,15.36,83.1,6.0,14.1,14.5
3.181,15,94.0,928.0,0.0,18.0,15.36,83.1,6.0,14.1,14.5
3.271,15,94.0,928.0,0.0,18.0,15.36,83.1,6.0,14.1,14.5
3.362,15,94.0,928.0,0.0,18.0,15.36,83.1,6.0,14.1,14.5
3.481,15,94.0,928.0,0.0,18.0,15.36,83.1,6.0,14.1,14.5
3.57,15,94.0,928.0,0.0,18.0,15.36,83.1,6.0,14.1,14.5
3.661,15,94.0,928.0,0.0,18.0,15.36,83.1,6.0,14.1,14.5
3.752,15,94.0,930.0,0.0,18.0,15.36,83.1,6.0,14.1,14.5
3.842,15,94.0,930.0,0.0,18.0,15.36,83.1,6.0,14.1,14.5
3.932,15,94.0,930.0,0.0,18.0,15.36,83.1,6.0,14.1,14.5
4.022,15,94.0,930.0,0.0,18.0,15.47,83.1,6.0,14.1,14.5
4.111,15,94.0,930.0,0.0,18.0,15.47,83.1,6.0,14.1,14.5
4.172,15,94.0,930.0,0.0,18.0,15.47,83.1,6.0,14.1,14.5
4.261,15,94.0,930.0,0.0,18.0,15.47,83.1,6.0,14.1,14.5
4.322,15,94.0,930.0,0.0,18.0,15.47,83.1,6.0,14.1,14.5
4.411,15,94.0,930.0,0.0,18.0,15.47,83.1,6.0,14.1,14.5
4.472,15,94.0,930.0,0.0,18.0,15.47,83.1,6.0,14.1,14.5
4.561,15,94.0,954.0,0.0,18.0,15.47,83.1,6.0,14.1,14.5
4.622,15,94.0,954.0,0.0,18.0,15.47,83.1,6.0,14.1,14.5
4.712,15,94.0,954.0,0.0,18.0,15.47,83.1,6.0,14.1,14.5
4.772,15,94.0,954.0,0.0,18.0,15.69,83.1,6.0,14.1,14.5
4.861,15,94.0,954.0,0.0,18.0,15.69,83.1,6.0,14.1,14.5
4.951,15,94.0,954.0,0.0,18.0,15.69,83.1,6.0,14.1,14.5
5.012,15,94.0,954.0,0.0,18.0,15.69,83.1,6.0,14.1,14.5
5.101,15,94.0,954.0,0.0,18.0,15.69,83.1,6.0,14.1,14.5
5.162,15,94.0,954.0,0.0,18.0,15.69,83.1,6.0,14.1,14.5
5.251,15,94.0,954.0,0.0,18.0,15.69,83.1,6.0,14.1,14.5
5.312,15,94.0,923.0,0.0,18.0,15.69,83.1,6.0,14.1,14.5
5.401,15,94.0,923.0,0.0,18.0,15.69,83.1,6.0,14.1,14.5
5.491,15,94.0,923.0,0.0,17.0,15.69,83.1,6.0,14.1,14.5
5.581,15,94.0,923.0,0.0,17.0,15.22,83.1,6.0,14.1,14.5
5.671,15,94.0,923.0,0.0,17.0,15.22,83.1,6.0,14.1,14.5
5.761,15,94.0,923.0,0.0,17.0,15.22,83.1,6.0,14.1,14.5
5.851,15,94.0,923.0,0.0,17.0,15.22,83.1,6.0,14.1,14.5
5.941,15,94.0,923.0,0.0,17.0,15.22,83.1,6.0,14.1,14.5
6.002,15,94.0,923.0,0.0,17.0,15.22,83.1,6.0,14.1,14.5
6.091,15,95.0,923.0,0.0,17.0,15.22,83.1,6.0,14.1,14.5
6.181,15,95.0,929.0,0.0,17.0,15.22,83.1,6.0,14.1,14.5
6.271,15,95.0,929.0,0.0,17.0,15.22,83.1,6.0,14.1,14.5
6.362,15,95.0,929.0,0.0,17.0,15.22,83.1,6.0,14.1,14.5
6.451,15,95.0,929.0,0.0,17.0,15.41,83.1,6.0,14.1,14.5
6.512,15,95.0,929.0,0.0,17.0,15.41,83.1,6.0,14.1,14.5
6.601,15,95.0,929.0,0.0,17.0,15.41,83.1,6.0,14.1,14.5
6.691,15,95.0,929.0,0.0,17.0,15.41,83.1,6.0,14.5,14.5
6.811,15,95.0,929.0,0.0,17.0,15.41,83.1,6.0,14.5,14.5
6.901,15,95.0,929.0,0.0,17.0,15.41,83.1,6.0,14.5,14.5
6.962,15,95.0,929.0,0.0,17.0,15.41,83.1,6.0,14.5,14.5
7.051,15,95.0,931.0,0.0,17.0,15.41,83.1,6.0,14.5,14.5
7.141,15,95.0,931.0,1.0,17.0,15.41,83.1,6.0,14.5,14.5
7.202,15,95.0,931.0,1.0,17.0,15.41,83.1,6.0,14.5,14.5
7.291,15,95.0,931.0,1.0,17.0,15.33,83.1,6.0,14.5,14.5
7.382,15,95.0,931.0,1.0,17.0,15.33,83.1,6.0,14.5,14.5
7.471,15,95.0,931.0,1.0,17.0,15.33,83.1,6.0,14.5,14.5
7.563,15,95.0,931.0,1.0,17.0,15.33,83.1,6.0,14.1,14.5
7.651,15,95.0,931.0,1.0,17.0,15.33,83.1,6.0,14.1,14.5
7.712,15,95.0,931.0,1.0,17.0,15.33,83.1,6.0,14.1,14.5
7.801,15,95.0,931.0,1.0,17.0,15.33,83.1,6.0,14.1,14.5
7.862,15,95.0,984.0,1.0,17.0,15.33,83.1,6.0,14.1,14.5
7.95,15,95.0,984.0,2.0,17.0,15.33,83.1,6.0,14.1,14.5
8.041,15,95.0,984.0,2.0,17.0,15.33,83.1,6.0,14.1,14.5
8.102,15,95.0,984.0,2.0,17.0,16.38,83.1,6.0,14.1,14.5
8.191,15,95.0,984.0,2.0,17.0,16.38,83.1,6.0,14.1,14.5
8.281,15,95.0,984.0,2.0,17.0,16.38,83.1,6.0,14.1,14.5
8.371,15,95.0,984.0,2.0,17.0,16.38,83.1,6.0,14.1,14.5
8.461,15,95.0,984.0,2.0,17.0,16.38,83.1,6.0,14.1,14.5
8.551,15,95.0,984.0,2.0,17.0,16.38,83.1,6.0,14.1,14.5
8.612,15,95.0,984.0,2.0,17.0,16.38,83.1,6.0,14.1,14.5
8.701,15,95.0,964.0,2.0,17.0,16.38,83.1,6.0,14.1,14.5
8.762,15,95.0,964.0,1.0,17.0,16.38,83.1,6.0,14.1,14.5
8.852,15,95.0,964.0,1.0,17.0,16.38,83.1,6.0,14.1,14.5
8.912,15,95.0,964.0,1.0,17.0,16.22,83.1,6.0,14.1,14.5
9.001,15,95.0,964.0,1.0,17.0,16.22,83.1,6.0,14.1,14.5
9.091,15,95.0,964.0,1.0,17.0,16.22,83.1,6.0,14.1,14.5
9.181,15,95.0,964.0,1.0,17.0,16.22,83.1,6.0,14.1,14.5
9.271,15,95.0,964.0,1.0,17.0,16.22,83.1,6.0,14.1,14.1
9.362,15,95.0,964.0,1.0,17.0,16.22,83.1,6.0,14.1,14.1
9.451,15,95.0,964.0,1.0,17.0,16.22,83.1,6.0,14.1,14.1
9.512,15,95.0,942.0,1.0,17.0,16.22,83.1,6.0,14.1,14.1
9.601,15,95.0,942.0,1.0,17.0,16.22,83.1,6.0,14.1,14.1
9.691,15,95.0,942.0,1.0,16.0,16.22,83.1,6.0,14.1,14.1
9.782,15,95.0,942.0,1.0,16.0,16.05,83.1,6.0,14.1,14.1
9.871,15,95.0,942.0,1.0,16.0,16.05,83.1,6.0,14.1,14.1
10.021,15,95.0,942.0,1.0,16.0,16.05,83.1,6.0,14.1,14.1
10.111,15,95.0,942.0,1.0,16.0,16.05,83.1,6.0,14.1,14.1
10.231,15,95.0,942.0,1.0,16.0,16.05,83.1,6.0,14.1,14.5
10.321,15,95.0,942.0,1.0,16.0,16.05,83.1,6.0,14.1,14.5
10.411,15,96.0,942.0,1.0,16.0,16.05,83.1,6.0,14.1,14.5
10.502,15,96.0,940.0,1.0,16.0,16.05,83.1,6.0,14.1,14.5
10.562,15,96.0,940.0,1.0,16.0,16.05,83.1,6.0,14.1,14.5
10.652,15,96.0,940.0,1.0,16.0,16.05,83.1,6.0,14.1,14.5
10.741,15,96.0,940.0,1.0,16.0,15.94,83.1,6.0,14.1,14.5
10.831,15,96.0,940.0,1.0,16.0,15.94,83.1,6.0,14.1,14.5
10.921,15,96.0,940.0,1.0,16.0,15.94,83.1,6.0,14.1,14.5
