timestamp,coolant_temp,map,rpm,speed,iat,maf,throttle_pos,ambient_temp,pedal_d,pedal_e
0.839,90,102.0,1003.0,17.0,18.0,7.13,83.5,8.0,23.1,23.1
0.929,90,102.0,1003.0,17.0,18.0,7.13,83.5,8.0,23.1,23.1
1.019,90,103.0,1003.0,17.0,18.0,7.13,83.5,8.0,23.1,23.1
1.109,90,103.0,1051.0,17.0,18.0,7.13,83.5,8.0,23.1,23.1
1.2,90,103.0,1051.0,18.0,18.0,7.13,83.5,8.0,23.1,23.1
1.32,90,103.0,1051.0,18.0,14.0,7.13,83.5,8.0,23.1,23.1
1.409,90,103.0,1051.0,18.0,14.0,8.58,83.5,8.0,23.1,23.1
1.5,90,103.0,1051.0,18.0,14.0,8.58,83.5,8.0,23.1,23.1
1.59,90,103.0,1051.0,18.0,14.0,8.58,83.5,8.0,23.1,23.1
1.679,90,103.0,1051.0,18.0,14.0,8.58,83.5,8.0,24.7,23.1
1.769,90,103.0,1051.0,18.0,14.0,8.58,83.5,8.0,24.7,24.3
1.859,90,103.0,1051.0,18.0,14.0,8.58,83.5,8.0,24.7,24.3
1.949,90,103.0,1051.0,18.0,14.0,8.58,83.5,8.0,24.7,24.3
2.04,90,103.0,1126.0,18.0,14.0,8.58,83.5,8.0,24.7,24.3
2.129,90,103.0,1126.0,19.0,14.0,8.58,83.5,8.0,24.7,24.3
2.249,90,103.0,1126.0,19.0,15.0,8.58,83.5,8.0,24.7,24.3
2.34,90,103.0,1126.0,19.0,15.0,9.02,83.5,8.0,24.7,24.3
2.459,90,103.0,1126.0,19.0,15.0,9.02,83.5,8.0,24.7,24.3
2.549,90,103.0,1126.0,19.0,15.0,9.02,83.5,8.0,24.7,24.3
2.639,90,103.0,1126.0,19.0,15.0,9.02,83.5,8.0,25.1,24.3
2.729,90,103.0,1126.0,19.0,15.0,9.02,83.5,8.0,25.1,25.1
2.82,90,103.0,1126.0,19.0,15.0,9.02,83.5,8.0,25.1,25.1
2.909,90,100.0,1126.0,19.0,15.0,9.02,83.5,8.0,25.1,25.1
2.999,90,100.0,1214.0,19.0,15.0,9.02,83.5,8.0,25.1,25.1
3.089,90,100.0,1214.0,21.0,15.0,9.02,83.5,8.0,25.1,25.1
3.179,90,100.0,1214.0,21.0,16.0,9.02,83.5,8.0,25.1,25.1
3.269,90,100.0,1214.0,21.0,16.0,9.97,83.5,8.0,25.1,25.1
3.36,90,100.0,1214.0,21.0,16.0,9.97,83.5,8.0,25.1,25.1
3.449,90,100.0,1214.0,21.0,16.0,9.97,83.5,8.0,25.1,25.1
3.539,90,100.0,1214.0,21.0,16.0,9.97,83.5,8.0,19.2,25.1
3.629,90,100.0,1214.0,21.0,16.0,9.97,83.5,8.0,19.2,19.2
3.719,90,100.0,1214.0,21.0,16.0,9.97,83.5,8.0,19.2,19.2
3.809,90,101.0,1214.0,21.0,16.0,9.97,83.5,8.0,19.2,19.2
3.929,90,101.0,1196.0,21.0,16.0,9.97,83.5,8.0,19.2,19.2
4.019,90,101.0,1196.0,20.0,16.0,9.97,83.5,8.0,19.2,19.2
4.139,90,101.0,1196.0,20.0,17.0,9.97,83.5,8.0,19.2,19.2
4.229,90,101.0,1196.0,20.0,17.0,10.66,83.5,8.0,19.2,19.2
4.349,90,101.0,1196.0,20.0,17.0,10.66,83.5,8.0,19.2,19.2
4.439,90,101.0,1196.0,20.0,17.0,10.66,83.5,8.0,19.2,19.2
4.529,90,101.0,1196.0,20.0,17.0,10.66,83.5,8.0,22.0,19.2
4.619,90,101.0,1196.0,20.0,17.0,10.66,83.5,8.0,22.0,21.6
4.709,90,101.0,1196.0,20.0,17.0,10.66,83.5,8.0,22.0,21.6
4.799,90,104.0,1196.0,20.0,17.0,10.66,83.5,8.0,22.0,21.6
4.889,90,104.0,1190.0,20.0,17.0,10.66,83.5,8.0,22.0,21.6
4.979,90,104.0,1190.0,20.0,17.0,10.66,83.5,8.0,22.0,21.6
5.069,90,104.0,1190.0,20.0,18.0,10.66,83.5,8.0,22.0,21.6
5.159,90,104.0,1190.0,20.0,18.0,8.97,83.5,8.0,22.0,21.6
5.249,90,104.0,1190.0,20.0,18.0,8.97,83.5,8.0,22.0,21.6
5.339,90,104.0,1190.0,20.0,18.0,8.97,83.5,8.0,22.0,21.6
5.429,90,104.0,1190.0,20.0,18.0,8.97,83.5,8.0,25.1,21.6
5.519,90,104.0,1190.0,20.0,18.0,8.97,83.5,8.0,25.1,25.1
5.639,90,104.0,1190.0,20.0,18.0,8.97,83.5,8.0,25.1,25.1
5.729,90,101.0,1190.0,20.0,18.0,8.97,83.5,8.0,25.1,25.1
5.819,90,101.0,1250.0,20.0,18.0,8.97,83.5,8.0,25.1,25.1
5.909,90,101.0,1250.0,21.0,18.0,8.97,83.5,8.0,25.1,25.1
5.999,90,101.0,1250.0,21.0,17.0,8.97,83.5,8.0,25.1,25.1
6.089,90,101.0,1250.0,21.0,17.0,10.52,83.5,8.0,25.1,25.1
6.18,90,101.0,1250.0,21.0,17.0,10.52,83.5,8.0,25.1,25.1
6.269,90,101.0,1250.0,21.0,17.0,10.52,83.5,8.0,25.1,25.1
6.359,90,101.0,1250.0,21.0,17.0,10.52,83.5,8.0,26.7,25.1
6.479,90,101.0,1250.0,21.0,17.0,10.52,83.5,8.0,26.7,26.7
6.569,90,101.0,1250.0,21.0,17.0,10.52,83.5,8.0,26.7,26.7
6.659,90,101.0,1250.0,21.0,17.0,10.52,83.5,8.0,26.7,26.7
6.749,90,101.0,1339.0,21.0,17.0,10.52,83.5,8.0,26.7,26.7
6.839,90,101.0,1339.0,23.0,17.0,10.52,83.5,8.0,26.7,26.7
6.929,90,101.0,1339.0,23.0,17.0,10.52,83.5,8.0,26.7,26.7
7.019,90,101.0,1339.0,23.0,17.0,11.22,83.5,8.0,26.7,26.7
7.11,90,101.0,1339.0,23.0,17.0,11.22,83.5,8.0,26.7,26.7
7.199,90,101.0,1339.0,23.0,17.0,11.22,83.5,8.0,26.7,26.7
7.289,90,101.0,1339.0,23.0,17.0,11.22,83.5,8.0,26.7,26.7
7.379,90,101.0,1339.0,23.0,17.0,11.22,83.5,8.0,26.7,26.7
7.469,90,101.0,1339.0,23.0,17.0,11.22,83.5,8.0,26.7,26.7
7.559,90,103.0,1339.0,23.0,17.0,11.22,83.5,8.0,26.7,26.7
7.679,90,103.0,1420.0,23.0,17.0,11.22,83.5,8.0,26.7,26.7
7.769,90,103.0,1420.0,24.0,17.0,11.22,83.5,8.0,26.7,26.7
7.859,90,103.0,1420.0,24.0,19.0,11.22,83.5,8.0,26.7,26.7
7.949,90,103.0,1420.0,24.0,19.0,11.97,83.5,8.0,26.7,26.7
8.039,90,103.0,1420.0,24.0,19.0,11.97,83.5,8.0,26.7,26.7
8.129,90,103.0,1420.0,24.0,19.0,11.97,83.5,8.0,26.7,26.7
8.219,90,103.0,1420.0,24.0,19.0,11.97,83.5,8.0,27.5,26.7
8.309,90,103.0,1420.0,24.0,19.0,11.97,83.5,8.0,27.5,28.2
8.4,90,103.0,1420.0,24.0,19.0,11.97,83.5,8.0,27.5,28.2
8.489,90,106.0,1420.0,24.0,19.0,11.97,83.5,8.0,27.5,28.2
8.579,90,106.0,1502.0,24.0,19.0,11.97,83.5,8.0,27.5,28.2
8.669,90,106.0,1502.0,26.0,19.0,11.97,83.5,8.0,27.5,28.2
8.759,90,106.0,1502.0,26.0,19.0,11.97,83.5,8.0,27.5,28.2
8.879,90,106.0,1502.0,26.0,19.0,13.13,83.5,8.0,27.5,28.2
8.969,90,106.0,1502.0,26.0,19.0,13.13,83.5,8.0,27.5,28.2
9.059,90,106.0,1502.0,26.0,19.0,13.13,83.5,8.0,27.5,28.2
9.149,90,106.0,1502.0,26.0,19.0,13.13,83.5,8.0,23.9,28.2
9.24,90,106.0,1502.0,26.0,19.0,13.13,83.5,8.0,23.9,20.8
9.329,90,106.0,1502.0,26.0,19.0,13.13,83.5,8.0,23.9,20.8
9.449,90,108.0,1502.0,26.0,19.0,13.13,83.5,8.0,23.9,20.8
9.539,90,108.0,1516.0,26.0,19.0,13.13,83.5,8.0,23.9,20.8
9.63,90,108.0,1516.0,26.0,19.0,13.13,83.5,8.0,23.9,20.8
9.719,90,108.0,1516.0,26.0,19.0,13.13,83.5,8.0,23.9,20.8
9.809,90,108.0,1516.0,26.0,19.0,13.66,83.5,8.0,23.9,20.8
9.9,90,108.0,1516.0,26.0,19.0,13.66,83.5,8.0,23.9,20.8
9.989,90,108.0,1516.0,26.0,19.0,13.66,83.5,8.0,23.9,20.8
10.079,90,108.0,1516.0,26.0,19.0,13.66,83.5,8.0,20.0,20.8
10.169,90,108.0,1516.0,26.0,19.0,13.66,83.5,8.0,20.0,20.0
10.259,90,108.0,1516.0,26.0,19.0,13.66,83.5,8.0,20.0,20.0
10.349,90,110.0,1516.0,26.0,19.0,13.66,83.5,8.0,20.0,20.0
10.439,90,110.0,1482.0,26.0,19.0,13.66,83.5,8.0,20.0,20.0
10.529,90,110.0,1482.0,25.0,19.0,13.66,83.5,8.0,20.0,20.0
10.619,90,110.0,1482.0,25.0,20.0,13.66,83.5,8.0,20.0,20.0
10.709,90,110.0,1482.0,25.0,20.0,25.8,83.5,8.0,20.0,20.0
10.8,90,110.0,1482.0,25.0,20.0,25.8,83.5,8.0,20.0,20.0
10.89,90,110.0,1482.0,25.0,20.0,25.8,83.5,8.0,20.0,20.0
10.979,90,110.0,1482.0,25.0,20.0,25.8,83.5,8.0,25.5,20.0
11.069,90,110.0,1482.0,25.0,20.0,25.8,83.5,8.0,25.5,25.1
11.159,90,110.0,1482.0,25.0,20.0,25.8,83.5,8.0,25.5,25.1
11.249,90,113.0,1482.0,25.0,20.0,25.8,83.5,8.0,25.5,25.1
11.37,90,113.0,1495.0,25.0,20.0,25.8,83.5,8.0,25.5,25.1
11.459,90,113.0,1495.0,26.0,20.0,25.8,83.5,8.0,25.5,25.1
11.549,90,113.0,1495.0,26.0,21.0,25.8,83.5,8.0,25.5,25.1
11.64,90,113.0,1495.0,26.0,21.0,13.19,83.5,8.0,25.5,25.1
11.729,90,113.0,1495.0,26.0,21.0,13.19,83.5,8.0,25.5,25.1
11.82,90,113.0,1495.0,26.0,21.0,13.19,83.5,8.0,25.5,25.1
11.94,90,113.0,1495.0,26.0,21.0,13.19,83.5,8.0,25.1,25.1
12.03,90,113.0,1495.0,26.0,21.0,13.19,83.5,8.0,25.1,24.7
12.119,90,113.0,1495.0,26.0,21.0,13.19,83.5,8.0,25.1,24.7
12.209,90,102.0,1495.0,26.0,21.0,13.19,83.5,8.0,25.1,24.7
12.3,90,102.0,1535.0,26.0,21.0,13.19,83.5,8.0,25.1,24.7
12.389,90,102.0,1535.0,26.0,21.0,13.19,83.5,8.0,25.1,24.7
12.539,90,102.0,1535.0,26.0,19.0,13.19,83.5,8.0,25.1,24.7
12.629,90,102.0,1535.0,26.0,19.0,12.27,83.5,8.0,25.1,24.7
12.719,90,102.0,1535.0,26.0,19.0,12.27,83.5,8.0,25.1,24.7
12.809,90,102.0,1535.0,26.0,19.0,12.27,83.5,8.0,25.1,24.7
12.9,90,102.0,1535.0,26.0,19.0,12.27,83.5,8.0,21.6,24.7
12.989,90,102.0,1535.0,26.0,19.0,12.27,83.5,8.0,21.6,21.6
13.109,90,102.0,1535.0,26.0,19.0,12.27,83.5,8.0,21.6,21.6
13.2,90,99.0,1535.0,26.0,19.0,12.27,83.5,8.0,21.6,21.6
13.289,90,99.0,1509.0,26.0,19.0,12.27,83.5,8.0,21.6,21.6
13.379,90,99.0,1509.0,26.0,19.0,12.27,83.5,8.0,21.6,21.6
13.469,90,99.0,1509.0,26.0,18.0,12.27,83.5,8.0,21.6,21.6
13.561,90,99.0,1509.0,26.0,18.0,12.66,83.5,8.0,21.6,21.6
13.68,90,99.0,1509.0,26.0,18.0,12.66,83.5,8.0,21.6,21.6
13.74,90,99.0,1509.0,26.0,18.0,12.66,83.5,8.0,21.6,21.6
13.829,90,99.0,1509.0,26.0,18.0,12.66,83.5,8.0,25.1,21.6
13.919,90,99.0,1509.0,26.0,18.0,12.66,83.5,8.0,25.1,25.5
14.009,90,99.0,1509.0,26.0,18.0,12.66,83.5,8.0,25.1,25.5
