session_id,row_count,anomaly_count,anomaly_rate
2017-07-26_Seat_Leon_S_KA_Normal,21609,2527,0.1169
2017-07-26_Seat_Leon_RT_S_Stau,47341,4876,0.103
2017-07-11_Seat_Leon_KA_S_Normal,41041,3755,0.0915
2017-07-11_Seat_Leon_S_RT_Frei,28105,2570,0.0914
2017-08-10_Seat_Leon_RT_S_Normal,29466,2498,0.0848
2017-07-05_Seat_Leon_S_KA_Normal,30808,2568,0.0834
2018-03-19_Seat_Leon_RT_KA_Normal,70513,5762,0.0817
2017-08-07_Seat_Leon_KA_RT_Frei,27362,1866,0.0682
2018-02-18_Seat_Leon_RT_KA_Stau,53834,3573,0.0664
2017-07-13_Seat_Leon_RT_KA_Stau_Messfehler,59625,3919,0.0657
2017-08-07_Seat_Leon_RT_KA_Frei_Vollbremsung,39101,2038,0.0521
2017-08-01_Seat_Leon_KA_RT_Normal,47788,2388,0.05
2018-02-27_Seat_Leon_KA_RT_Normal,47336,2335,0.0493
2017-07-31_Seat_Leon_RT_KA_Normal,57322,2637,0.046
2017-08-04_Seat_Leon_S_RT_Normal,32894,1429,0.0434
2018-02-26_Seat_Leon_RT_KA_Normal,56667,2440,0.0431
2018-02-23_Seat_Leon_RT_RT_Frei_Beschleunigung,10167,341,0.0335
2017-07-06_Seat_Leon_KA_KA_Normal,18102,602,0.0333
2018-03-06_Seat_Leon_KA_RT_Normal,45993,1508,0.0328
2018-03-21_Seat_Leon_KA_RT_Normal,51557,1683,0.0326
2017-07-11_Seat_Leon_KA_KA_Stau,17925,561,0.0313
2017-07-10_Seat_Leon_KA_KA_Stau,14561,453,0.0311
2017-07-28_Seat_Leon_KA_KA_Normal,13908,431,0.031
2018-03-29_Seat_Leon_KA_RT_Stau,86645,2653,0.0306
2018-02-28_Seat_Leon_S_RT_Normal,34371,1041,0.0303
2017-07-27_Seat_Leon_KA_KA_Normal,13574,410,0.0302
2017-07-24_Seat_Leon_RT_KA_Normal,54857,1643,0.03
2017-07-14_Seat_Leon_KA_RT_Normal,54028,1583,0.0293
2018-02-21_Seat_Leon_KA_BB_Normal,43581,1259,0.0289
2018-04-23_Seat_Leon_KA_KA_Frei,9692,260,0.0268
2017-07-28_Seat_Leon_KA_RT_Stau,73191,1948,0.0266
2017-07-27_Seat_Leon_KA_KA_2_Normal,16952,445,0.0263
2017-07-06_Seat_Leon_KA_RT_Normal,57240,1467,0.0256
2018-02-26_Seat_Leon_KA_KA_Frei,10971,272,0.0248
2018-04-23_Seat_Leon_RT_KA_Normal,76454,1856,0.0243
2017-07-13_Seat_Leon_KA_KA_Normal,11207,257,0.0229
